Date	Cereals and products	Meat and fish	Egg	Milk and products	Oils and fats	Fruits	Vegetables	Pulses and products	Sugar and confectionery	Spices	Non-alcoholic beverages	Prepared meals, snacks, sweets etc.	Pan, tobacco and intoxicants	Clothing	Footwear	Housing	Fuel and light	Household goods and services	Health	Transport and communication	Recreation and amusement	Education	Personal care and effects
01 January 2015	0.224368531	0.029360177	-0.01372762	1.087150242	-0.054220109	0.324672117	1.22767223	0.319279261	0.01568015	0.444886532	0.052609077	0.631902676	0.317684793	0.306655633	0.035946162	0.787743022	0.250603139	0.185381268	0.222619685	-0.181177986	0.068533599	0.642409699	0.103015257
01 February 2015	0.154720154	0.023849291	-0.03646403	1.048168636	-0.028710817	0.304686747	1.048232662	0.324289605	0.013673463	0.453133504	0.054350989	0.613864615	0.337116617	0.310313237	0.034953527	0.761999786	0.258528918	0.186011139	0.213538898	-0.287171853	0.067500398	0.641241772	0.079415321
01 March 2015	0.110071622	0.08251555	-0.055833307	1.022001057	-0.040553306	0.199776297	0.74763865	0.339490573	0.008155614	0.407744278	0.061427524	0.570752161	0.347982299	0.297457069	0.033793351	0.801901801	0.26486088	0.182834721	0.22623176	-0.189481446	0.069857062	0.629008601	0.050612014
01 April 2015	0.046131852	0.172436169	-0.02172263	0.966050389	-0.035576691	0.116150934	0.292227656	0.390026274	-0.014184355	0.307934294	0.062086932	0.601032692	0.360358189	0.286287514	0.031591449	0.826357876	0.282021731	0.175292993	0.218331565	-0.158582245	0.071126019	0.627027818	0.073443035
01 May 2015	0.043644604	0.159158692	-0.02121154	0.925936475	-0.018513203	0.09080333	0.413881958	0.500284789	-0.019229655	0.253116434	0.063576189	0.585983979	0.361615711	0.266753843	0.027364016	0.809624772	0.266289951	0.177566164	0.205069179	0.061906889	0.071909226	0.625555616	0.093645057
01 June 2015	0.006837187	0.27320979	0.044893113	0.952074372	0.019799525	0.074199225	0.621309434	0.615429175	-0.024946927	0.264368275	0.06904458	0.598348353	0.345760478	0.287225486	0.027584914	0.798040316	0.276157963	0.153782221	0.218915648	0.130942314	0.086971403	0.601078075	0.13946134
01 July 2015	-0.108817037	0.260157836	0.003319335	0.932315333	0.016625576	0.025401621	-0.365509632	0.582693863	-0.04456898	0.242485391	0.064687075	0.587834525	0.362306317	0.258969649	0.025184138	0.792891669	0.268057976	0.113599008	0.231014132	0.000418072	0.085948843	0.514796618	0.053417747
01 August 2015	-0.166000429	0.111368089	0.01152369	0.888528498	0.032443701	-0.049033668	-0.471897505	0.639596071	-0.045303291	0.199611433	0.056829399	0.509052722	0.32859685	0.237098562	0.02175551	0.825070714	0.253673334	0.099160489	0.20714418	-0.14443366	0.086505036	0.427285236	0.038521923
01 September 2015	-0.116989619	0.147501994	-5.48e-05	0.930047112	0.056148695	-0.053472518	0.159171058	0.738227883	-0.040936642	0.217192629	0.069390587	0.511350642	0.286492181	0.227571804	0.0212135	0.832793685	0.210096079	0.090499611	0.221195164	-0.125997736	0.093120901	0.371279132	0.10727022
01 October 2015	-0.051313165	0.018311158	-0.008823889	0.889787292	0.068228171	-0.048315612	0.598584516	1.088336498	-0.034486695	0.219360112	0.068479093	0.570426905	0.288187288	0.209200773	0.019382578	0.889428804	0.189146157	0.130998041	0.227294825	-0.064687826	0.096271363	0.364670465	0.131980146
