வார்டு எண்,மரியாதைத் தலைப்பு,வேட்பாளரின் பெயர்,வேட்பாளரின் தந்தை/கணவர் பெயர்,பாலினம்‌,வயது,அரசியல் கட்சியின் பெயர்,வேட்புமனுவின் நிலை
56,திரு,கதிரவன்,எம். தனசேகரன்,ஆண்,48,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
56,திரு,ராஜா,என்.இஎம் . ஷாஜஹான்,ஆண்,39,Social Democratic Party of India, நிராகரிக்கப் பட்டது 
56,திரு,லோகநாதன்,முருகேசன்,ஆண்,56,Social Democratic Party of India, திரும்பப்பெறப் பட்டது 
56,திரு,பரிமளம்,வெங்கடேசன் டி,ஆண்,50,திராவிட முன்னேற்றக் கழகம், நிராகரிக்கப் பட்டது 
56,திரு,முஹமது பஹத் கனி,இஸ்மாயில் கனி எம்,ஆண்,20,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், நிராகரிக்கப் பட்டது 
57,திரு,மாரிமுத்து ,சி.  கருப்பன் ,ஆண்,56,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
57,திரு,பிரபாகர் ,ந.வெங்கடேசன் ,ஆண்,50,Pattali Makkal Katchi,
57,திரு,தனுஷ்,ஆதி நாராயணன்,ஆண்,22,சுயேட்சை வேட்பாளர்,
57,திரு,டேவிட்,முனியாண்டி டி,ஆண்,27,பகுஜன் சமாஜ் கட்சி,
57,திரு,சிவசங்கர்,புட் பிரகாஷ்,ஆண்,37,சுயேட்சை வேட்பாளர்,
57,திரு,சர்வேஸ்வரன்,மஹேந்திரன்,ஆண்,35,சுயேட்சை வேட்பாளர்,
57,திரு,சக்திவேல்,தங்கராசு,ஆண்,36,Naam Tamilar Katchi,
57,திரு,இரவிராஜ்,எத்திராஜ்,ஆண்,28,Makkal Needhi Maiam,
57,திரு,அருண்,தட்சிணாமூர்த்தி,ஆண்,37,தேசிய முற்போக்கு திராவிட கழகம்,
57,திரு,ஜெயராம் சுமந்த்,சந்திரசேகர் பி ஜி,ஆண்,27,பாரதிய ஜனதா கட்சி,
57,திரு,ராஜேஷ் ஜெயின்,நத்மல் ஜெயின்,ஆண்,49,திராவிட முன்னேற்றக் கழகம்,
57,திரு,ராமராஜ்,கோவிந்தன்,ஆண்,34,சுயேட்சை வேட்பாளர்,
57,திரு,ரமேஷ்பாபு,ரகோத்மன்,ஆண்,50,சுயேட்சை வேட்பாளர்,
57,திரு,பாண்டியன்,பூபதி,ஆண்,59,Amma Makkal Munnettra Kazagam,
57,திருமதி,விஜயா,தோ.மோகன்,பெண்,54,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
57,திரு,சாந்திலால்,லஷ்ராம்,ஆண்,46,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
57,திரு,கோபி,மாரிமுத்து ,ஆண்,22,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
57,திரு,ராஜேஷ் ஜெயின் ,நத்மல் ஜெயின் ,ஆண்,49,திராவிட முன்னேற்றக் கழகம், நிராகரிக்கப் பட்டது 
58,திருமதி,ஜெயலஷ்மி,வி .பிரதீப் ,பெண்,39,பகுஜன் சமாஜ் கட்சி,
58,திருமதி,லதா,சண்முகசுந்தரம் .டி,பெண்,48,பாரதிய ஜனதா கட்சி,
58,திருமதி,மோகனீஸ்வரி,என் குமாரசாமி,பெண்,33,சுயேட்சை வேட்பாளர்,
58,திருமதி,முனியம்மாள்,ஆர். பூங்காவனம்,பெண்,38,Pattali Makkal Katchi,
58,திருமதி,மாலதி,நாகேந்திரராவ்,பெண்,35,Naam Tamilar Katchi,
58,திருமதி,தனலட்சுமி,விஜயன் .என்,பெண்,61,சுயேட்சை வேட்பாளர்,
58,திருமதி,சாமுண்டிஸ்வரி,வசந்த சிங்,பெண்,49,Makkal Needhi Maiam,
58,திருமதி,கோதைநாயகி,ஆர் ரங்கசாமி,பெண்,66,சுயேட்சை வேட்பாளர்,
58,திருமதி,குமாரி நாராயணன்,ஜி.நாராயணன்,பெண்,55,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
58,திருமதி,கீதாலட்சுமி ,உதய குமார் த,பெண்,49,Amma Makkal Munnettra Kazagam,
58,திருமதி,இராஜேஸ்வரி,ஆர்.ஸ்ரீதர்,பெண்,39,திராவிட முன்னேற்றக் கழகம்,
58,திருமதி,பிபி பாத்திமா,ஏழில் இனியன்,பெண்,25,சுயேட்சை வேட்பாளர்,
58,திருமதி,கலைவாணி,வி.பார்த்திபன் ,பெண்,30,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
58,திருமதி,இராஜேஸ்வரி,ஆர்.ஸ்ரீதர்,பெண்,39,திராவிட முன்னேற்றக் கழகம், நிராகரிக்கப் பட்டது 
58,திருமதி,இராஜேஸ்வரி,ஆர்.ஸ்ரீதர்,பெண்,39,திராவிட முன்னேற்றக் கழகம், நிராகரிக்கப் பட்டது 
59,திருமதி,ஷோபாராணி,ரவீந்தர்,பெண்,55,Pattali Makkal Katchi,
59,திருமதி,ரமாதேவி,சுகுமார்,பெண்,31,சுயேட்சை வேட்பாளர்,
59,திருமதி,மகேஸ்வரி,வீரபத்திரன்,பெண்,42,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
59,திருமதி,நாகமணி,கலைராஜன்,பெண்,35,சுயேட்சை வேட்பாளர்,
59,திருமதி,தேவி,மோகன்,பெண்,25,சுயேட்சை வேட்பாளர்,
59,திருமதி,தனபாக்கியம்,குமார்,பெண்,46,Amma Makkal Munnettra Kazagam,
59,திருமதி,சரஸ்வதி,கருணாநிதி,பெண்,57,திராவிட முன்னேற்றக் கழகம்,
59,திருமதி,அனிதா ,ரவிச்சந்திரன்,பெண்,41,பாரதிய ஜனதா கட்சி,
59,திருமதி,கலைவாணி,மணிகண்டன்,பெண்,24,சுயேட்சை வேட்பாளர்,
59,திருமதி,கற்பகம்,உதயகுமார்,பெண்,38,Naam Tamilar Katchi,
59,திருமதி,லோகம்மாள்,ஆனந்த் பாபு,பெண்,47,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
59,திருமதி,துர்கா தேவி,சுரேஷ்குமார்,பெண்,39,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
59,திருமதி,சந்தியா,கரிகாலன்,பெண்,29,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
59,திருமதி,சரஸ்வதி,கருணாநிதி,பெண்,57,திராவிட முன்னேற்றக் கழகம், நிராகரிக்கப் பட்டது 
60,திரு,ஜோசப் மைக்கேல்,வேதமுத்து,ஆண்,50,சுயேட்சை வேட்பாளர்,
60,திரு,விஜய்,காத்தவராயன்,ஆண்,40,Amma Makkal Munnettra Kazagam,
60,திரு,ரவி,செல்வராஜ்,ஆண்,55,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
60,திரு,யுவராஜ்,லோகநாதன்,ஆண்,32,Makkal Needhi Maiam,
60,திரு,மொய்தீன்,மீரா சாகிப்,ஆண்,57,Social Democratic Party of India,
60,திரு,முத்துசாமி,சின்னையா,ஆண்,33,Indiya Jananayaka Katchi,
60,திருமதி,சாந்தினிதேவி,கதிர்வேலன்,பெண்,49,சுயேட்சை வேட்பாளர்,
60,திரு,சங்கர்,சாக்ரடீஸ்,ஆண்,36,பாரதிய ஜனதா கட்சி,
60,திரு,ஓம்குமார்,தனசேகர்,ஆண்,36,பகுஜன் சமாஜ் கட்சி,
60,திரு,சோபன் குமார்,வினோதராஜ்,ஆண்,33,Naam Tamilar Katchi,
60,திரு,செய்யது ஹசன் அலி,அப்துல் ரஹிம்,ஆண்,51,Manithaneya Jananayaga Katchi,
60,திரு,கமலக்கண்ணன்,ராமசுந்தரம்,ஆண்,31,சுயேட்சை வேட்பாளர்,
60,திரு,ஆசாத்,ஜவாஹிர்,ஆண்,57,திராவிட முன்னேற்றக் கழகம்,
60,திரு,அமிர் சுல்தான்,ஜின்னா,ஆண்,41,சுயேட்சை வேட்பாளர்,
60,திரு,மணிகண்டன்,ஏழுமலை,ஆண்,29,Pattali Makkal Katchi,
60,திரு,நஜீம் ,முகம்மது மொய்தீன்,ஆண்,52,சுயேட்சை வேட்பாளர்,
60,திரு,இப்ராஹிம் கனி,முஸ்தபா,ஆண்,58,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
60,திரு,மொய்தீன்,மீரா சாகிப்,ஆண்,57,Social Democratic Party of India, நிராகரிக்கப் பட்டது 
60,திரு,ராமசந்திரன்,ரவி,ஆண்,34,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
60,திரு,சிக்கந்தர் பாட்சா,முகமது இபுரா மூசா,ஆண்,47,Social Democratic Party of India, திரும்பப்பெறப் பட்டது 
60,திரு,சர்தார்,பாஷா பாய்,ஆண்,55,தேசிய முற்போக்கு திராவிட கழகம், திரும்பப்பெறப் பட்டது 
60,திருமதி,சந்தானலட்சுமி,நாராயணன்,பெண்,37,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
60,திரு,ஆசாத்,ஜவாஹிர்,ஆண்,57,திராவிட முன்னேற்றக் கழகம், நிராகரிக்கப் பட்டது 
60,திரு,ஆசாத்,ஜவாஹிர்,ஆண்,57,திராவிட முன்னேற்றக் கழகம், நிராகரிக்கப் பட்டது 
