Zone,Div,Address,latitude,longitude
4,35," 2ND BLOCK MUTHAMIL NAGAR, KODUNGAIYUR, CHENNAI - 600 118",13.1377,80.2456
4,35," E.H. ROAD, OPP. INDIAN BANK, NEHRU MAIN ROAD, ERUKKANCHERI, ",13.1245,80.247
4,36," 11TH STREET, SASTHRI NAGAR, VYASARPADI, CHENNAI - 600 039",13.1184,80.2536
4,36,"  SOOLPUNAL KARAI, VYSARPADI, CHENNAI",13.1237,80.2497
4,37," 3RD MAIN ROAD, MKB NAGAR, VYSARPADI, CHENNAI - 600 039",13.123,80.2616
4,37," KANNADHASAN NAGAR 7TH BLOCK, VYSARPADI, CHENNAI - 600 039",13.133,80.2593
4,38," NEW VINOBA NAGAR, UNUSED COMMUNITY HALL 3RD ST, TONDIARPET, CHENNAI - 600 081",13.1392,80.2781
4,38," HOSPITAL BUILDING, NEHRU MAIN ROAD, TONDIARPET, CHENNAI - 600 081",13.1275,80.2749
4,39," VASAR VARADAPPAN STREET,NEW WASHERMANPET (OLD DIVISION-6 OFFICE),CHENNAI - 600 081",13.1351,80.2961
4,39," EXISTING GYM BUILDING ,KANNUPILLAI STREET,NEW WASHERMENPET, CHENNAI - 600 081",13.1376,80.2959
4,40," MULTI PURPOSAL HALL,MANGAMMAL THOTTAM,NEW WASHERMANPET,CHENNAI - 600 081",13.1371,80.2916
4,40," KEERAI THOTTAM, NEW WASHERMENPET, CHENNAI - 600 081",13.1343,80.2923
4,41," ANNAI SATHYA NAGAR MAIN ROAD EZHIL NAGAR B BLOCK, KORUKKUPET,CHENNAI - 600 021",13.1264,80.2722
4,41," EXISTING GIM BUILDING, J.J NAGAR C STREET , NEW WASHERMENPET,CHENNAI - 600 081",13.1199,80.2755
4,42," NO.80, SENIAMMAN KOIL ST., TONDIARPET, CHENNAI - 600 081",13.1248,80.2875
4,42," THILAGAR NAGAR, HOUSING BOARD, ",13.1258,80.2846
4,43," POWERKUPPAM,KASIMEDU,3RD ST, ROYAPURAM, ",13.1249,80.2954
4,43," EXISTING GIM BUILDING, MGR NAGAR , KASIMEDU",13.1227,80.2959
4,43," C.D.HOSPITAL, TONDIARPET, CHENNAI - 600 081.",13.1282,80.2909
4,44," MELPATTI PONNAPPAN STREET, PERAMBUR, CHENNAI - 600 011",13.1157,80.2445
4,44," AMMAN KOIL STREET, VYSARPADI, OPP.PERAMBUR BURRIAL GROUND, VYSARPADI",13.1163,80.2515
4,45," MAYOR KRISHNAMOORTHI NAGAR, VYASARPADI, CHENNAI - 600 039",13.1109,80.2609
4,45," SANJAY NAGAR 1ST STREET, MELPATTI PONNAPPAN ST, (OLD MLA OFFICE BACKSIDE), VYSARPADI, ",13.1137,80.2577
4,46," 24TH BLOCK S.M. NAGAR, VYASARPADI, CHENNAI - 600 039",13.1196,80.2654
4,46," OLD DIVISION OFFICE - C.KALYANAPURAM, VYSARPADI,CHENNAI - 600 039",13.1119,80.2658
4,47," 4TH STREET, MEENAMBAL NAGAR, KORUKUPATTI, CHENNAI - 600 021",13.1163,80.274
4,47, SIGIRINTHAPALAYAM 5TH STREET  KORRUKKUPET,13.1192,80.2762
4,48," BOOMISIVARAMALU STREET,OLD WASHERMANPET,CHENNAI - 600 021",13.1147,80.2834
4,48," KANNI KOIL STREET, OLD J.E OFFICE (BUILDING), OLD WASHERMENPET,CHENNAI - 600 021",13.1185,80.2819
5,59," RGGH - E.V.R SALAI, CHENNAI - 600 003",13.0809,80.2754
5,61," ICH - EGMORE CHILDREN'S HOSPITAL, CHENNAI - 600 008",13.0736,80.2545
5,52," STANLEY - GOVERNMENT STANLEY GENERAL HOSPITAL, CHENNAI - 600 021",13.1064,80.2844
5,52," R.S.R.M - GOVERNMENT R.S.R.M HOSPITAL, CHENNAI - 600 021",13.1092,80.2892
