City,Deaths,Mode of transport,Person
BHOPAL,0.0,Animal Drawn Vehicle,Victims
BHOPAL,0.0,Animal Drawn Vehicle,Total
BHOPAL,0.0,Pedestrian,Offenders
BHOPAL,12.0,Pedestrian,Victims
BHOPAL,12.0,Pedestrian,Total
BHOPAL,0.0,Others,Offenders
BHOPAL,10.0,Others,Victims
BHOPAL,10.0,Others,Total
BHOPAL,0.0,Truck/Lorry,Offenders
BHOPAL,1.0,Truck/Lorry,Victims
BHOPAL,1.0,Truck/Lorry,Total
BHOPAL,0.0,Bus,Offenders
BHOPAL,0.0,Bus,Victims
BHOPAL,0.0,Bus,Total
BHOPAL,0.0,SUV/Station Wagon/etc.,Offenders
BHOPAL,0.0,SUV/Station Wagon/etc.,Victims
BHOPAL,0.0,SUV/Station Wagon/etc.,Total
CHANDIGARH (CITY),0.0,Car,Offenders
CHANDIGARH (CITY),1.0,Car,Victims
CHANDIGARH (CITY),1.0,Car,Total
CHANDIGARH (CITY),0.0,Jeep,Offenders
CHANDIGARH (CITY),0.0,Jeep,Victims
CHANDIGARH (CITY),0.0,Jeep,Total
CHANDIGARH (CITY),0.0,Tractor,Offenders
CHANDIGARH (CITY),0.0,Tractor,Victims
CHANDIGARH (CITY),0.0,Tractor,Total
CHANDIGARH (CITY),0.0,Auto Rickshaw,Offenders
CHANDIGARH (CITY),0.0,Auto Rickshaw,Victims
CHANDIGARH (CITY),0.0,Auto Rickshaw,Total
CHANDIGARH (CITY),0.0,Two Wheeler,Offenders
CHANDIGARH (CITY),23.0,Two Wheeler,Victims
CHANDIGARH (CITY),23.0,Two Wheeler,Total
CHANDIGARH (CITY),0.0,Other Motor Vehicles,Offenders
CHANDIGARH (CITY),0.0,Other Motor Vehicles,Victims
CHANDIGARH (CITY),0.0,Other Motor Vehicles,Total
CHANDIGARH (CITY),0.0,Bicycle,Offenders
CHANDIGARH (CITY),10.0,Bicycle,Victims
CHANDIGARH (CITY),10.0,Bicycle,Total
CHANDIGARH (CITY),0.0,Hand Drawn Vehicle,Offenders
CHANDIGARH (CITY),4.0,Hand Drawn Vehicle,Victims
CHANDIGARH (CITY),4.0,Hand Drawn Vehicle,Total
CHANDIGARH (CITY),0.0,Animal Drawn Vehicle,Offenders
CHANDIGARH (CITY),0.0,Animal Drawn Vehicle,Victims
CHANDIGARH (CITY),0.0,Animal Drawn Vehicle,Total
CHANDIGARH (CITY),0.0,Pedestrian,Offenders
CHANDIGARH (CITY),12.0,Pedestrian,Victims
CHANDIGARH (CITY),12.0,Pedestrian,Total
CHANDIGARH (CITY),0.0,Others,Offenders
CHANDIGARH (CITY),0.0,Others,Victims
CHANDIGARH (CITY),0.0,Others,Total
CHANDIGARH (CITY),0.0,Truck/Lorry,Offenders
CHANDIGARH (CITY),1.0,Truck/Lorry,Victims
CHANDIGARH (CITY),1.0,Truck/Lorry,Total
CHANDIGARH (CITY),0.0,Bus,Offenders
CHANDIGARH (CITY),0.0,Bus,Victims
CHANDIGARH (CITY),0.0,Bus,Total
CHANDIGARH (CITY),0.0,SUV/Station Wagon/etc.,Offenders
CHANDIGARH (CITY),2.0,SUV/Station Wagon/etc.,Victims
CHANDIGARH (CITY),2.0,SUV/Station Wagon/etc.,Total
CHENNAI,25.0,Car,Offenders
CHENNAI,8.0,Car,Victims
CHENNAI,33.0,Car,Total
CHENNAI,0.0,Jeep,Offenders
CHENNAI,1.0,Jeep,Victims
CHENNAI,1.0,Jeep,Total
CHENNAI,0.0,Tractor,Offenders
CHENNAI,1.0,Tractor,Victims
CHENNAI,1.0,Tractor,Total
CHENNAI,5.0,Auto Rickshaw,Offenders
CHENNAI,5.0,Auto Rickshaw,Victims
CHENNAI,10.0,Auto Rickshaw,Total
CHENNAI,50.0,Two Wheeler,Offenders
CHENNAI,278.0,Two Wheeler,Victims
CHENNAI,328.0,Two Wheeler,Total
CHENNAI,11.0,Other Motor Vehicles,Offenders
CHENNAI,120.0,Other Motor Vehicles,Victims
CHENNAI,131.0,Other Motor Vehicles,Total
CHENNAI,0.0,Bicycle,Offenders
CHENNAI,37.0,Bicycle,Victims
CHENNAI,37.0,Bicycle,Total
CHENNAI,0.0,Hand Drawn Vehicle,Offenders
CHENNAI,1.0,Hand Drawn Vehicle,Victims
CHENNAI,1.0,Hand Drawn Vehicle,Total
CHENNAI,0.0,Animal Drawn Vehicle,Offenders
CHENNAI,0.0,Animal Drawn Vehicle,Victims
CHENNAI,0.0,Animal Drawn Vehicle,Total
CHENNAI,0.0,Pedestrian,Offenders
CHENNAI,181.0,Pedestrian,Victims
CHENNAI,181.0,Pedestrian,Total
CHENNAI,0.0,Others,Offenders
CHENNAI,102.0,Others,Victims
CHENNAI,102.0,Others,Total
CHENNAI,20.0,Truck/Lorry,Offenders
CHENNAI,7.0,Truck/Lorry,Victims
CHENNAI,27.0,Truck/Lorry,Total
CHENNAI,12.0,Bus,Offenders
CHENNAI,5.0,Bus,Victims
CHENNAI,17.0,Bus,Total
CHENNAI,0.0,SUV/Station Wagon/etc.,Offenders
CHENNAI,3.0,SUV/Station Wagon/etc.,Victims
CHENNAI,3.0,SUV/Station Wagon/etc.,Total
COIMBATORE,0.0,Car,Offenders
COIMBATORE,12.0,Car,Victims
COIMBATORE,12.0,Car,Total
COIMBATORE,0.0,Jeep,Offenders
COIMBATORE,0.0,Jeep,Victims
COIMBATORE,0.0,Jeep,Total
COIMBATORE,0.0,Tractor,Offenders
COIMBATORE,0.0,Tractor,Victims
COIMBATORE,0.0,Tractor,Total
COIMBATORE,0.0,Auto Rickshaw,Offenders
COIMBATORE,0.0,Auto Rickshaw,Victims
COIMBATORE,0.0,Auto Rickshaw,Total
COIMBATORE,6.0,Two Wheeler,Offenders
COIMBATORE,23.0,Two Wheeler,Victims
COIMBATORE,29.0,Two Wheeler,Total
COIMBATORE,0.0,Other Motor Vehicles,Offenders
COIMBATORE,0.0,Other Motor Vehicles,Victims
COIMBATORE,0.0,Other Motor Vehicles,Total
COIMBATORE,0.0,Bicycle,Offenders
COIMBATORE,1.0,Bicycle,Victims
COIMBATORE,1.0,Bicycle,Total
COIMBATORE,0.0,Hand Drawn Vehicle,Offenders
COIMBATORE,0.0,Hand Drawn Vehicle,Victims
COIMBATORE,0.0,Hand Drawn Vehicle,Total
COIMBATORE,0.0,Animal Drawn Vehicle,Offenders
COIMBATORE,0.0,Animal Drawn Vehicle,Victims
COIMBATORE,0.0,Animal Drawn Vehicle,Total
COIMBATORE,0.0,Pedestrian,Offenders
COIMBATORE,0.0,Pedestrian,Victims
COIMBATORE,0.0,Pedestrian,Total
COIMBATORE,0.0,Others,Offenders
COIMBATORE,0.0,Others,Victims
COIMBATORE,0.0,Others,Total
COIMBATORE,0.0,Truck/Lorry,Offenders
COIMBATORE,13.0,Truck/Lorry,Victims
COIMBATORE,13.0,Truck/Lorry,Total
COIMBATORE,0.0,Bus,Offenders
COIMBATORE,10.0,Bus,Victims
COIMBATORE,10.0,Bus,Total
COIMBATORE,0.0,SUV/Station Wagon/etc.,Offenders
COIMBATORE,0.0,SUV/Station Wagon/etc.,Victims
COIMBATORE,0.0,SUV/Station Wagon/etc.,Total
DELHI (CITY),79.0,Car,Offenders
DELHI (CITY),183.0,Car,Victims
DELHI (CITY),262.0,Car,Total
DELHI (CITY),1.0,Jeep,Offenders
DELHI (CITY),6.0,Jeep,Victims
DELHI (CITY),7.0,Jeep,Total
DELHI (CITY),2.0,Tractor,Offenders
DELHI (CITY),0.0,Tractor,Victims
DELHI (CITY),2.0,Tractor,Total
DELHI (CITY),6.0,Auto Rickshaw,Offenders
DELHI (CITY),45.0,Auto Rickshaw,Victims
DELHI (CITY),51.0,Auto Rickshaw,Total
DELHI (CITY),147.0,Two Wheeler,Offenders
DELHI (CITY),324.0,Two Wheeler,Victims
DELHI (CITY),471.0,Two Wheeler,Total
DELHI (CITY),6.0,Other Motor Vehicles,Offenders
DELHI (CITY),106.0,Other Motor Vehicles,Victims
DELHI (CITY),112.0,Other Motor Vehicles,Total
DELHI (CITY),1.0,Bicycle,Offenders
DELHI (CITY),14.0,Bicycle,Victims
DELHI (CITY),15.0,Bicycle,Total
DELHI (CITY),0.0,Hand Drawn Vehicle,Offenders
DELHI (CITY),2.0,Hand Drawn Vehicle,Victims
