VEHICLE NO,LOCATION,NO.OF BINS,IST TRIP,IIND TRIP,IIRD TRIP,REMARKS,Zone,Div,Shift
TN02 BU 0497,200 FEET ROAD,4,04:00PM, , ,NOON,3,26,0
TN02BU 0340,CMDA TRUCK TERMINAL,10, ,01.20PM, ,DAY,3,26,1
TN02BU 0433,PRH FISH MARKET,3,11.20PM, , ,NIGHT,3,26,2
TN02BU 0484,ALEX NAGAR MAIN RD,3,11:35PM, , ,NIGHT,3,27,0
TN02BU 0340,KUMARAPPAPURAM MAIN RD,2,08:45AM, , ,DAY,3,27,1
TN02BU 0484,KUMARAPPAPURAM MAIN RD,2,11:40PM, , ,NIGHT,3,27,2
TN02BU 0484,MOOLACHATRAM ROAD,5,12.20PM, , ,NIGHT,3,28,0
TN02BU 0340,SASTRI NAGAR,6,07:30AM, , ,DAY,3,28,1
TN02BU 0340,PARTHA SARATHY STREET,3,06:45AM, , ,DAY,3,29,0
TN02BU 0340,PARTHA SARATHY STREET,2,07:00AM, , ,DAY,3,29,1
TN02BO 0497,MRH ROAD,5, ,11:40AM, ,DAY,3,30,0
TN02BO 0497,MRH ROAD,4, ,11:55AM, ,DAY,3,30,1
TN02BU 0484,MRH ROAD,4,10:00PM, , ,NIGHT,3,30,2
TN02BO 0497,K.K.R NAGAR 1ST MAIN ROAD,5, ,01:15PM, ,DAY,3,31,0
TN02BO 0497,MRH ROAD,2, ,01:30PM, ,DAY,3,31,1
TN02BU 0484,MRH ROAD,4,10:40PM, , ,NIGHT,3,31,2
TN02BO 0497,TEACHER COLONY VV NAGAR,4,09:45AM, , ,DAY,3,32,0
TN02BO 0497,TEACHERS COLONY 3RD CROSS STREET,2,10:10AM, , ,DAY,3,32,1
TN02BU 0433,TEACHERS COLONY 7TH MAIN ROAD,6,11.30PM, , ,NIGHT,3,32,2
TN02BU 0484,80 FEET ROAD,6, ,2.15AM, ,NIGHT,3,33,0
TN02BO 0497,G.N.T ROAD,2,12.10AM, , ,DAY,3,33,1
TN02BU 0484,G.N.T ROAD,2, ,2.45AM, ,NIGHT,3,33,2
TN 04 AY 7304 ,DURGAI AVENUE 1ST MAIN ROAD,2,8.55 AM, , ,DAY,4,34,0
TN 04 AY 7304 ,DURGAI AVENUE 1ST MAIN ROAD,2, , ,12.55 AM,DAY,4,34,1
TN 22 CH 8343 ,MANALI SALAI MAIN ROAD ( DOWN ),2, ,11.45 PM, ,NIGHT,4,34,2
TN 04 TQ 4743 ,ANNA SALAI MAIN STREET,1,7.15 AM, , ,DAY,4,35,0
TN 04 TQ 4743 ,ANNA SALAI MAIN STREET,1,7.15 AM, , ,DAY,4,35,1
TN 04 AC 6197 ,MUTHAMIL NAGAR 10TH MAIN ROAD,5,10.30 PM, , ,NIGHT,4,35,2
TN 22 BR 3937 ,EH ROAD ( BRIDGE ),4, ,10.50 AM, , ,4,36,0
TN 04 AY 6422 ,EH ROAD ( SUMANGALI OPP ),6,11.00 PM, , ,NIGHT,4,36,2
TN 04 AQ 6415 ,4TH CROSS STREET NEAR DIVISION OFFICE,2,1.50 PM, , ,AFTERNOON,4,37,0
TN 04 AV 6403 ,4TH MAIN ROAD NEAR METRO WATER,1,9.35AM, , ,DAY,4,37,1
TN 04 AQ 6422 ,SM MAIN ROAD OPP TO MULLAI NAGAR BUS STAND,2, ,11.35 PM, ,NIGHT,4,37,2
TN 22 CF 6185 ,EH ROAD 1ST BRIDGE,1, ,12.00 NOON, ,DAY,4,38,0
TN 22 CF 6185 ,EH ROAD 1ST BRIDGE,1,9.35 AM, , ,DAY,4,38,1
TN 22 CF 5613 ,EH ROAD AMMAN KOIL,1,9.40 PM, , ,NIGHT,4,38,2
TN 04 AC 7627 ,ENNORE HIGH ROAD,2,8.00 AM, , ,DAY,4,41,0
TN 04 AC 7627 ,ENNORE HIGH ROAD,2,8.00 AM, , ,DAY,4,41,1
TN 04 AQ 6408 ,A.A ROAD (KASTHURI BAI GANDHI STREET ),1, , ,3.35PM,AFTERNOON,4,45,0
TN 22 BR 2956 ,BB ROAD ( TRAVELS),1,7.40AM,11.15AM, ,DAY,4,45,1
TN 22 BR 1249 ,C KALYANAPURAM SCHOOL BACK SIDE GOOD SHED ROAD,4, ,1.15 PM, ,DAY,4,46,0
TN 22 BR 1249 ,EH ROAD MARKET,1,9.10 AM, , ,DAY,4,46,1
TN 04 AY 6403 ,MOORTHINGAR STREET,3, ,11.35 AM, ,NIGHT,4,46,2
TN 04 AY 6435 ,NAINIYAPPAN STREET,3,07.15 AM, , ,DAY,4,48,0
TN 04 AY 6435 ,NAINIYAPPAN STREET,3,07.15 AM, , ,DAY,4,48,1
TN 22 CF 1678,G.A.ROAD 5TH STREET,4,8.00AM,11.15AM,1.15PM, ,5,49,0
TN 04 AY 6426,EAST MADHA STREET,3,7 .35AM,10.45AM,12.30PM, ,5,50,0
TN 04 AQ 7297,SOUTH CEMETRY ROAD,1,7.20AM,10.30AM,12.15PM, ,5,51,0
TN 04 AD 6261,DHAKSHANA MURTHI STREET,1,7.00AM,9.30AM,12.00PM, ,5,52,0
TN 22 CH 6311,BOJARAJA NAGAR,5,8.00AM,11.15AM,1.15PM, ,5,53,0
TN 04 AD 0623,KANCHIPURAM SABAPATHY STREET,1,7.20AM,10.30AM,12.15PM, ,5,54,0
TN 04 AQ 7295,GIRI KOIL STREET,3,7.20AM,10.30AM,12.15PM, ,5,55,0
TN 22 CJ 4842,GEILS STREET,5,8.00AM,11.15AM,1.15PM, ,5,56,0
TN 22 CJ 1867,BATHRIYAN GARDEN STREET,4,7 .35AM,10.45AM,12.30PM, ,5,57,0
TN 04 AD 2874,AVATHANA PAPIAR ROAD (CHURCH NEAR),1,7 .45AM,11.00AM,12.45PM, ,5,58,0
TN 04 AD 0623,G.H HOSPITAL,20,7.20AM,10.30AM,12.15PM, ,5,59,0
TN 04 AD 1591,ARMANIEN STREET,6,7.00AM,9.30AM,12.00PM, ,5,60,0
TN 22 CF 6138,"BOOPATHY NAGAR ( AMMA UNAVAGAM OPP, TPF OPP",1,7 .45AM,11.00AM,12.45PM, ,5,61,0
TN 04 AQ 7378,ARUNACHALAM ROAD (NEAR PUMPING STATION ),1,7.00AM,9.30AM,12.00PM, ,5,62,0
TN 04 AY 6447,ANNA SALAI ( SHANTH THEATRE),1,8.00AM,11.15AM,1.15PM, ,5,63,0
 TN 04 AY 6457,ANJUGAM NAGAR 4TH STREET,2, ,12.05, , ,6,64,0
 TN 05 CH 2354,JAMBULINGAM MAIN ROAD BURIAL GROUND ,6,8.3, , , ,6,65,0
 TN 05 AQ 6276,CHANDRAN STREET,1, ,9.45, , ,6,66,0
 TN 05 AY 6480,GANDHI NAGAR WATER WORKS,1, ,11.05, , ,6,67,0
 TN 04 AQ 4874,MADHURASAMY MADAM,3, ,9.5, , ,6,68,0
  TN 05 AQ 4833,ANNAI SATHYA NAGAR,1, , ,11.5, ,6,69,0
 TN 05 CY 7839,MH ROAD,1, ,11, , ,6,70,0
 TN 05 AD 7485,CIT BUS STOP,1,8.45, , , ,6,71,0
 TN 05 BR 9571,KANNIGAPURAM,7,10.3, , , ,6,72,0
 TN 05 CH 8625,DR. AMBEDKAR COLLEGE RD,1,8.2, , , ,6,73,0
TN 05 AV 6284 ,MADAVAKKAM TANK ROAD,5, ,9.3, , ,6,74,0
 TN 04AQ 7048,CHELLAPPA STREET,1,7.1, , , ,6,75,0
 TN 05 AQ 6446,DOBIKANNA HOSPITAL,3, ,11.25, , ,6,76,0
 TN 05 AY 6478,KAJAH SAHIB STREET,2,7.5, , , ,6,77,0
 TN 05 AQ 4872,ASTABUJAM ROAD,2, , ,11.25, ,6,78,0
TN 04 1357,GANDHI MAIN ROAD,5,-,-,9.55, ,7,79,0
 TN 04 AP 9038,BANU NAGAR 1ST MAIN ROAD,4,9.3,-,-, ,7,80,0
TN 04 6481,MOUNASAMY MADAM,1,-,12.1,-, ,7,81,0
TN 02 BU 0478,INDRA NAGAR,4,11:02 TO 11:07, , ,NIGHT,7,82,0
TN 02 BU 0478,INDRA NAGAR,4,11:02 TO 11:07, , ,NIGHT,7,82,2
TN 02 BU 0478,KACHINAKUPPAM,1, ,06:12 TO 06:14, ,NIGHT,7,83,0
TN 02 BU 0478,NRS MAIN ROAD,2, ,12:34 TO 12:37, ,DAY,7,83,1
TN 02 BU 0478,KACHINAKUPPAM,1, ,06:12 TO 06:14, ,NIGHT,7,83,2
TN 22 CH 7241,JAMUKESHWARAR POND,2,10.3,-,-, ,7,84,0
TN 02 BU 0478,KACHINAKUPPAM,1,09:06 TO 09:08, , ,DAY,7,85,0
TN 02 BU 0478,KACHINAKUPPAM,1,09:06 TO 09:08, , ,DAY,7,85,1
TN 22 CH 7683,CTH ROAD (EB OFFICE),3,10.5,-,-, ,7,87,0
TN 04 6481,KALAIVANAR NAGAR,1,-,-,1.15, ,7,88,0
 TN 04 AP 9036,THIRUMANGALAM MAIN ROAD (MAHILCHI COLONY),2,12.45,-,-, ,7,89,0
 TN 04 7682,PADI PUTHU NAGAR 7TH STREET,1,-,-,12.35, ,7,90,0
TN 04 AC 6127,BABA NAGAR 2ND MAIN ROAD (NEAR 12TH STREET ),4,8.45 AM,12.00PM, , ,8,94,0
TN 04 - 2841 ,18TH MAIN ROAD (SENDEKAT BANK ),2,8.00 AM,11.30AM, , ,8,95,0
TN 04 AQ 4857,KONNUR HIGH ROAD 1ST LANE,1,7..00AM,9.10AM,11.50 AM, ,8,96,0
TN 04 AQ 6252 ,THANTHAI PERIYAR NAGAR,9,7.00 AM TO 7.30 AM,9.30 AM TO 10.00 AM,11.45 AM TO 12.15 PM, ,8,97,0
TN-01 AQ 4843 ,C.K STREET,2, ,11.00 AM,12.30 PM, ,8,98,0
TN 22 BR 9698,15TH MAIN ROAD NEAR 11TH MAIN ROAD,3,9.25 AM,12.20 PM, , ,8,99,0
TN04 AY 6892 ,3RD AVENUE A BLOCK,1,7.10 AM,10.50 AM, , ,8,100,0
TN 04 AQ 6237,3RD AVENUE M.M.COLONY,2, ,10.10AM, , ,8,101,0
TN 04 AY 6843,AIYAVOO STREET,2,8.50 AM, , , ,8,102,0
TN 04 AY 6858,DHOMOTHIRAN STREET,2,8.15AM,12.15AM, , ,8,103,0
TN 04 AQ 6251,BRICKLIN ROAD NEAR BURIAL GROUND,1,8.25 AM, ,11.55 AM, ,8,104,0
TN 04 A3 3506,AMARAVATHY NAGAR MAIN ROAD,1,10.50 PM,1.00 AM, , ,8,105,0
TN 22 CH 4665,INDIRA GANDHI STREET,2,7.35 AM,11.00 AM, , ,8,106,0
TN 04 AD 1184,CHETPET SIGNAL ( BSNL OFFICE),1,7.40 AM,10.20AM,12.00 AM, ,8,107,0
TN 22 CY 7795,BARATHIYAR STREET,2,8.55 AM,11.00 AM, , ,8,108,0
TN02BU 0421,THALANAG KLUPPAM MARKET,2,10.40 PM, , ,NIGHT,1,1,0
TN02BU 0441,KH ROAD(ASHOK LEYLAND),5,07.30 AM, , ,DAY,1,2,0
TN02BU 0441,CHINNA KASI KOIL KUPPAM,2, ,01.10PM, ,DAY,1,3,0
TN02BU 0441,ETPS - QUATRESS -2,2,07.15 AM, , ,DAY,1,3,1
TN02BU 0407,NEITHAL NAGAR,3,07.40 AM, , ,DAY,1,5,0
TN02BU 0407,SAKTHIPURAM,4, ,11.00 AM, ,DAY,1,5,1
TN02BU 0421,HANSA APARTMENT,3,`,01.15 AM, ,NIGHT,1,7,0
TN02BU 0421,KCP ROAD,8,`,01.00 AM, ,NIGHT,1,7,2
TN02BU 0407,TH ROAD(SUGAM HOSPITAL),4, ,11.30 AM, ,DAY,1,8,0
TN02BU 0407,SOUTH MAADA STREET,9,11.15 PM, , ,NIGHT,1,10,0
TN 02 BU 0442,LAKSHMI NAGAR,4,6.20AM, , ,DAY,2,15,0
TN 02 BU 0442,KANNIYAMMANPETTAI,4,9.00AM, , ,DAY,2,16,0
TN 02 BU 0442,NEDUCHEZIAN SALAI,2, ,3.35AM, ,NIGHT,2,18,0
TN 02 BU 0442,2ND MAIN ROAD ,1, ,12.05PM, ,DAY,2,19,0
TN 02 BU 0442,3RD MAIN ROAD,2, ,12.15PM, ,DAY,2,19,1
TN 02 BU 0442,3RD MAIN ROAD,2, ,2.50AM, ,NIGHT,2,19,2
TN 02 BU 0442,PADASALAI STREET,1, ,1.30PM, ,DAY,2,20,0
TN 02 BU 0443,JALAGANDAMARIYAMMAN KOIL STREET,1, ,2.35PM, ,DAY,2,21,0
TN 02 BU 0444,KAMARAJAR SALAI ,4, ,2.40PM, ,DAY,2,21,1
TN 02 BU 0442,PADASALAI STREET,1, ,4.00AM, ,NIGHT,2,21,2
TN02BU 0433,K.S. NAGAR,5, ,1.45AM, ,NIGHT,3,22,0
TN02BU 0433,SIVANTHI ADITHANAR ROAD,5,8.30AM, , ,DAY,3,22,1
TN02BU 0433,SIVANTHI ADITHANAR ROAD,5, ,1.30AM, ,NIGHT,3,22,2
TN02BU 0433,BHARATHIDASAN NAGAR,5, ,12.20PM, ,DAY,3,24,0
TN02BU 0433,KADDAPA ROAD,4, ,1.10PM, ,DAY,3,24,1
TN02BU 0433,KADDAPA ROAD,4,12.10PM, , ,NIGHT,3,24,2
TN02BU 0484,GNT NROAD,1, ,3.45AM, ,NIGHT,3,25,0
TN02BU 0433,M.G.R NAGAR,4,9.45AM, , ,DAY,3,25,1
TN02BU 0433,PRH ROAD,1,10.20PM, , ,NIGHT,3,25,2
TN02BU 0433,200 FEET ROAD,7,9:40PM, , ,NIGHT,3,26,0
TN02BU 0340,NEW KINGS VEGETABLE,3, ,12.OOPM, ,DAY,3,26,1
TN02BU 0433,PRH ROAD,6,10.55PM, , ,NIGHT,3,26,2
TN02BU 0340,ASSI NAGAR MAIN RD,3,9.30AM, , ,DAY,3,27,0
TN02BU 0340,M.G.R STREET (TELUGU COLONY),11,9.15AM, , ,DAY,3,27,1
TN02BU 0484,M.G.R STREET (TELUGU COLONY),11,12.00PM, , ,NIGHT,3,27,2
TN02BU 0340,PADMAGIRI NAGAR,3,07:50AM, , ,DAY,3,28,0
TN02BU 0340,PARTHA SARATHY STREET,5,07:15AM, , ,DAY,3,29,0
TN02BO 0497,MRH ROAD,4, ,11:55AM, ,DAY,3,30,0
TN02BO 0497,THANDAI PERIYAR ST,4, ,12.00 PM, ,DAY,3,30,1
TN02BU 0484,THANDAI PERIYAR ST,4,11:30PM, , ,NIGHT,3,30,2
TN02BU 0484,K.K.R NAGAR 1ST MAIN ROAD,5,11:00PM, , ,NIGHT,3,31,0
TN02BO 0497,MRH ROAD,4, ,01.20PM, ,DAY,3,31,1
TN02BU 0433,TEACHER COLONY VV NAGAR,4,11.50PM, , ,NIGHT,3,32,0
TN02BO 0497,TEACHERS COLONY 7TH MAIN ROAD,6,10.15AM, , ,DAY,3,32,1
TN02BO 0497,CHANDRAPRABHU MAIN ROAD,6,11.40AM, , ,DAY,3,33,0
TN02BO 0497,G.N.T ROAD,5,12.30AM, , ,DAY,3,33,1
TN02BU 0484,G.N.T ROAD,5, ,3.00AM, ,NIGHT,3,33,2
TN 04 AY 7304 ,DURGAI AVENUE 1ST MAIN ROAD,2, , ,12.55 AM,DAY,4,34,0
TN 04 AY 7304 ,DURGAI AVENUE 1ST MAIN ROAD,2,8.55 AM, , ,DAY,4,34,1
TN 22 CH 8343 ,MANALI SALAI MAIN ROAD ( EVEREST BAKERY ),1, ,12.30 AM, ,NIGHT,4,34,2
TN 04 TQ 4743 ,BHARATHIDASAN STREET,1,6.45 AM, , ,DAY,4,35,0
TN 04 TQ 4743 ,BHARATHIDASAN STREET,1,6.45 AM, , ,DAY,4,35,1
TN 04 AC 6197 ,T.H.ROAD,4,9.30 PM, , ,NIGHT,4,35,2
TN 04 AY 6422 ,EH ROAD ( BRIDGE ),4,9.50 PM, , ,NIGHT,4,36,0
TN 04 AY 6422 ,EH ROAD ( VEERA MAHAL ),1,9.10 PM, , ,NIGHT,4,36,2
TN 04 AV 6403 ,4TH CROSS STREET NEAR SCHOOL,1,7.50 AM, , ,DAY,4,37,0
TN 22 CH 8296 ,6TH BLOCK,1,7.35 AM, , ,DAY,4,37,1
TN 04 AQ 6422 ,SM NAGAR MAIN ROAD NEAR 48TH BLOCK,1, ,11.50 PM, ,NIGHT,4,37,2
TN 22 CF 5613 ,EH ROAD 1ST BRIDGE,1,11.05 PM, , ,NIGHT,4,38,0
TN 22 CF 6185 ,EH ROAD 2ND BRIDGE,1, ,12.05 PM, ,DAY,4,38,1
TN 22 CF 5613 ,EH ROAD B.P. TEA STALL,2,9.50 PM, , ,NIGHT,4,38,2
TN 04 AQ 6415 ,JJ NAGAR NEAR AEM SCHOOL,5,8.00 AM, , ,DAY,4,41,0
TN 04 AQ 6415 ,JJ NAGAR NEAR AEM SCHOOL,5,8.00 AM, , ,DAY,4,41,1
TN 22 BR 2956 ,B.V COLONY 18TH STREET ,4,9.20AM,12.15AM, ,DAY,4,45,0
TN 22 BR 2956 ,DR.AMBED KAR COLLEGE ROAD (BACKERY),1,6.50AM,10.40AM, ,DAY,4,45,1
TN 04 AY 6403 ,EH ROAD,1, ,11.40 AM, ,NIGHT,4,46,0
TN 22 BR 1249 ,GOOD SHED 1ST BLOCK OPP,1, ,11.50 AM, ,DAY,4,46,1
TN 04 AY 6403 ,MUTHU STREET,1, ,11.20 AM, ,NIGHT,4,46,2
TN 04 AY 6435 ,NAMASIVAYAN STREET,1,08.10 AM, , ,DAY,4,48,0
TN 04 AY 6435 ,NAMASIVAYAN STREET,1,08.10 AM, , ,DAY,4,48,1
TN 04 AQ 1951,G.A.ROAD 7TH STREET,1,7.00AM,9.30AM,12.00PM, ,5,49,0
TN 04 AD 1678,FLAG STAFF ROAD,4,7.00AM,9.30AM,12.00PM, ,5,50,0
TN 04 AQ 7297,WEST CEMETRY ROAD,5,7 .35AM,10.45AM,12.30PM, ,5,51,0
TN 04 AD 6261,DOBI KANNA,1,7 .45AM,11.00AM,12.45PM, ,5,52,0
TN 22 CH 6311,C.B.MAIN ROAD,9,7 .35AM,10.45AM,12.30PM, ,5,53,0
TN 04 AD 0623,LAWYER CHINNA THAMBI STREET,1,8.00AM,11.15AM,1.15PM, ,5,54,0
TN 04 AQ 7295,GOVINDAPPA NAICKEN STREET,1,7 .35AM,10.45AM,12.30PM, ,5,55,0
TN 22 CJ 4842,IBRAHIM SALAI,5,7 .45AM,11.00AM,12.45PM, ,5,56,0
TN 22 CJ 1867,DAVIDSON STREET,1,7 .45AM,11.00AM,12.45PM, ,5,57,0
TN 04 AD 2874,AVATHANA PAPIAR ROAD (SKETING OPP),1,8.00AM,11.15AM,1.15PM, ,5,58,0
TN 22 AQ 6261,MUTUSAMY SALAI (NEAR DENTAL HOSPITAL),1,7.00AM,9.30AM,12.00PM, ,5,59,0
TN 04 AD1553,ERRABALLU STREET,2,7.20AM,10.30AM,12.15PM, ,5,60,0
TN 22 CF 6138,CHINNA ST,1,7.20AM,10.30AM,12.15PM, ,5,61,0
TN 04 AQ 7378,ARUNACHALAM ROAD (NEAR VENKATESHWARA HOTEL ),2,7.20AM,10.30AM,12.15PM, ,5,62,0
TN 22 CF 8557,ANNA SALAI LEFT (RAHEJA COMPLEX),2,7.00AM,9.30AM,12.00PM, ,5,63,0
TN 05 CH 2491,DURGA COLONY,1,8.15, , , ,6,64,0
 TN 05 CH 2354,JAMBULINGAM MAIN ROAD(JN 25TH STREET),1, ,11, , ,6,65,0
 TN 05 AQ 6276,CHANDRAN STREET,1,8, , , ,6,66,0
 TN 05 AY 6480,GANDHI NAGAR WATER WORKS,1,8.15, , , ,6,67,0
 TN 04 AQ 4874,MADHURASAMY MADAM,2, ,9.3, , ,6,68,0
  TN 05 AQ 4833,FOXEN STREET,1, ,9.3, , ,6,69,0
 TN 05 CY 7839,MH ROAD,1,7.15, , , ,6,70,0
 TN 05 AD 7485,CYS ROAD,4,7.15, , , ,6,71,0
 TN 05 BR 9571,NARASHIMA NAGAR,5,9, , , ,6,72,0
 TN 05 CH 8625,GANDHI NAGAR,1, ,12.15, , ,6,73,0
TN 05 AV 6284 ,SUBBURAYAN STREET,1,7, , , ,6,74,0
 TN 04AQ 7048,CHELLAPPA STREET,8, , ,1.3, ,6,75,0
 TN 05 AQ 6446,EDWARD PARK,1, , ,12.55, ,6,76,0
 TN 05 AY 6478,MOTILAL STREET,7, ,12.45, , ,6,77,0
 TN 05 AQ 4872,CHOOLAI HIGH ROOAD,4, ,9.45, , ,6,78,0
TN 04 AP 9057,GANDHI STREET,2,12.45,-,-, ,7,79,0
 TN 04 AP 9038,BANU NAGAR 22ND AVENUE,2,10.1,-,-, ,7,80,0
TN 04 AY 6481,NORTH PARK STREET,2,9,-,-, ,7,81,0
TN 02 BU 0478,KALLIKUPPAM SERVICE ROAD,2,10:58 TO 11:00, , ,NIGHT,7,82,0
TN 02 BU 0478,KALLIKUPPAM SERVICE ROAD,2,10:58 TO 11:00, , ,NIGHT,7,82,2
TN 02 BU 0478,KALIDASAN STREET,2, ,05:27 TO 05:29, ,NIGHT,7,83,0
TN 02 BU 0478,NRS MAIN ROAD,2, ,01:19 TO 01:22, ,DAY,7,83,1
TN 02 BU 0478,KALIDASAN STREET,2, ,05:27 TO 05:29, ,NIGHT,7,83,2
TN 22 CH 7241,KASTHURI NAGAR,3,8.3,-,-, ,7,84,0
TN 02 BU 0478,KALIDASAN STREET,2,08:17 TO 08:21, , ,DAY,7,85,0
TN 02 BU 0478,KALIDASAN STREET,2,08:17 TO 08:21, , ,DAY,7,85,1
TN 22 CH 7685,SOUTH MADA STREET (CASA GRAND FLATS),6,-,-,12.3, ,7,87,0
TN 04 AP 9028,KALAIVANAR NAGAR,1,9,-,-, ,7,88,0
 TN 04 AP 9036,THIRUMANGALAM MAIN ROAD (MAYURI FLATS),3,10.2,-,-, ,7,89,0
 TN 04 7682,PADI PUTHU NAGAR 9TH STREET,1,-,-,12.2, ,7,90,0
TN 04 AC 6127,BABA NAGAR 3RD CROSS STREET,1,8.30AM,11.40 AM, , ,8,94,0
TN 04 - 2841 ,19TH MAIN ROAD (THIRMANAGALAM ROAD ),2,9.35 AM,12.30AM, , ,8,95,0
TN 04 AQ 4857,KONNUR HIGH ROAD ICF COLONY BLOCKS,5,7.25 AM,9.30AM,12.15 PM, ,8,96,0
TN 04 AD 2021 ,VELLALA STREET,9,7.30 TO 8.30 AM,9.15 AM TO 11.30 PM,12.00 PM 1.30 PM, ,8,97,0
TN-01 AQ 4843 ,KUTTYAPPAN 1ST STREET,2,8.30 AM, ,11.45 AM, ,8,98,0
TN 22 BR 9698,16TH MAIN ROAD NEAR DN OFFICE,2,8.20 AM,11.25 AM, , ,8,99,0
TN04 AY 6892 ,3RD AVENUE NSK NAGAR 18TH STREET,1,7.35 AM,11.45 AM, , ,8,100,0
TN 22 BR 9446,3RD AVENUE MOSQUE OPP,1,9.15AM,11.43AM, , ,8,101,0
TN 04 AY 6843,AMINJIKARAI MARKET,1,9.15 AM, , , ,8,102,0
TN 04 AD 1184,FLOWERS ROAD,2,8.30 AM,12.30 AM, , ,8,103,0
TN 04 AQ 6251,BRICKLIN ROAD NEAR LIC,1,8.10 AM, ,11..35, ,8,104,0
TN 04 AQ 6239,ANNAI SATHIYA NAGAR 11TH STREET,1, ,11.10AM,1.45 PM, ,8,105,0
TN 22 CH 4665,JAYAMMAL CHURCH,2,8.25 AM,12.15 AM, , ,8,106,0
TN 04 AD 1184,DASS PURAM,1,8.45 AM,11.10AM,-, ,8,107,0
TN 04 AQ 6253,ETHIRAJ STREET,2, ,9.50 AM, , ,8,108,0
TN02BU 0441,THALANG KUPPAM,3,08.40 AM, , ,DAY,1,1,0
TN02BU 0441,KH ROAD(ENNORE MARKET),6,07.40 AM, , ,DAY,1,2,0
TN02BU 0441,ETPS - QUATRESS -1,2,07.05 AM, , ,DAY,1,3,0
TN02BU 0441,ETPS QUATRESS,2, ,12.00 PM, ,DAY,1,3,1
TN02BU 0421,NEITHAL NAGAR,5,`,03.30 AM, ,NIGHT,1,5,0
TN02BU 0407,TH ROAD,4,07.20 AM, , ,DAY,1,5,1
TN02BU 0407,KARGHIL NAGAR,4,08.35 AM, , ,DAY,1,7,0
TN 02 BU 0442,LAKSHMI NAGAR,4,9.00PM, , ,NIGHT,2,15,0
TN 02 BU 0442,KANNIYAMMANPETTAI,4,11.20PM, , ,NIGHT,2,16,0
TN 02 BU 0442,SANTHANAKRISHNAN STREET,2, ,1.40PM, ,DAY,2,18,0
TN 02 BU 0442,2ND MAIN ROAD ,2, ,12.00PM, ,DAY,2,19,0
TN 02 BU 0442,3RD MAIN ROAD,2, ,12.25PM, ,DAY,2,19,1
TN 02 BU 0442,3RD MAIN ROAD,2, ,2.55AM, ,NIGHT,2,19,2
TN 02 BU 0442,SANTHANAKRISHNAN STREET,2, ,4.05AM, ,NIGHT,2,20,0
TN 02 BU 0442,JALAGANDAMARIYAMMAN KOIL STREET,1, ,4.35AM, ,NIGHT,2,21,0
TN 02 BU 0442,LABBAIMEDU,1, ,1.25PM, ,DAY,2,21,1
TN02BU 0433,KANADAPALAYAM,7,9.00AM, , ,DAY,3,22,0
TN02BU 0433,BHARATHIDASAN NAGAR,5, ,3.20AM, ,NIGHT,3,24,0
TN02BU 0433,MURUGAMBEDU MAIN ROAD,3, ,12.10PM, ,DAY,3,24,1
TN02BU 0433,MURUGAMBEDU MAIN ROAD,3, ,3.15AM, ,NIGHT,3,24,2
TN02BU 0433,GNT SERVICE ROAD,3,10.00AM, , ,DAY,3,25,0
TN02BU 0433,THIRUMAL SRINIVASAN NAGAR ,1,7:15 AM, , ,DAY,3,25,1
TN02BU 0433,PRH ROAD,1,10.40PM, , ,NIGHT,3,25,2
TN02BU 0433,200 FEET ROAD,4,10:05PM, , ,NIGHT,3,26,0
TN02BU 0340,PRH FISH MARKET,3, ,11.45AM, ,DAY,3,26,1
TN02BU 0433,PRH ROAD,3,11.10PM, , ,NIGHT,3,26,2
TN02BU 0484,ASSI NAGAR MAIN RD,3,12.10PM, , ,NIGHT,3,27,0
TN02BU 0340,SASTRI NAGAR,6,07:30AM, , ,DAY,3,28,0
TN02BU 0484,PARTHA SARATHY STREET,2, ,1.45AM, ,NIGHT,3,29,0
TN02 BU 0497,MRH ROAD,7,7:25 PM, , ,NOON,3,30,0
TN02BO 0497,MRH ROAD,4, ,01.20PM, ,DAY,3,31,0
TN02BO 0497,TEACHERS COLONY 3RD CROSS STREET,2,10:10AM, , ,DAY,3,32,0
TN02BU 0484,CHANDRAPRABHU MAIN ROAD,6, ,2:05AM, ,NIGHT,3,33,0
TN02BO 0497,NETAJI MAIN ROAD,6,1.00PM, , ,DAY,3,33,1
TN02BU 0484,NETAJI MAIN ROAD,6, ,3.30AM, ,NIGHT,3,33,2
TN 04 AY 7304 ,GOVINDASAMY NAGAR,1, ,10.25 AM, ,DAY,4,34,0
TN 04 AY 7304 ,GOVINDASAMY NAGAR,1, ,10.25 AM, ,DAY,4,34,1
TN 22 CH 8343 ,MANALI SALAI MAIN ROAD ( NOOR HOSPITAL ),3, ,12.20 AM, ,NIGHT,4,34,2
TN 04 AC 6197 ,GNT ROAD,4,6.30 AM, , ,DAY,4,35,0
TN 04 AC 6197 ,GNT ROAD,4,6.30 AM, , ,DAY,4,35,1
TN 04 AC 6197 ,T.H.ROAD CHINADIMADAM SCHOOL,1, ,11.10 PM, ,NIGHT,4,35,2
TN 22 BR 3937 ,EH ROAD ( CPS SCHOOL ),1,8.10 AM, , , ,4,36,0
TN 04 AY 6422 ,WEST AVENUE ROAD ( ATM ),1,11.10 PM, , ,NIGHT,4,36,2
TN 04 AQ 6415 ,4TH CROSS STREET NEAR SCHOOL,1,2.10 PM, , ,AFTERNOON,4,37,0
