Zone,Div,Address,Area,StreetLight
4,34,"Periyar Nagar 1st Street  Periyar Nagar, Kodungaiyur",Kodungaiyur,10
4,34,"Periyar Nagar 2nd Street  Periyar Nagar, Kodungaiyur",Kodungaiyur,5
4,34,"Perumal Koil Street (Near Main Road)  N.S.K.Salai, Kodungaiyur",Kodungaiyur,3
4,34,"President Krishnan Street  Teachers Colony, Kodungaiyur",Kodungaiyur,3
4,34,"R.V Nagar 1st Street  R.V.Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"R.V. Nagar  2nd Main Road  R.V.Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"R.V. Nagar  2nd Street  R.V.Nagar, Kodungaiyur",Kodungaiyur,10
4,34,"R.V. Nagar  3rd Street  R.V.Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"R.V. Nagar  4th Street  R.V.Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"R.V. Nagar  5th Street (Temple Street)  R.V.Nagar, Kodungaiyur",Kodungaiyur,5
4,34,"R.V. Nagar  6th Street  R.V.Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"R.V. Nagar  7th Street  R.V.Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"R.V. Nagar 1st Main Road  R.V.Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"R.V. Nagar Play Ground Street (East)  R.V.Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"R.V. Nagar Play Ground Street (North)  R.V.Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"R.V. Nagar School Road (East)  R.V.Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"R.V. Nagar School Road (West)  R.V.Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"R.V. Nagar Tank Road  R.V.Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"RAVI GARDEN (DEMOUNT AVENUE)  MRH Road, MADHAVARAM",MADHAVARAM,1
4,34,"Ragavendra Nagar 3rd Street  Ragavendra Nagar, Kodungaiyur",Kodungaiyur,4
4,34,"Ragavendra Nagar Main Road  Ragavendra Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Raghavan Nagar Main Road  Raghavan Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Ravi Garden 1st Street  Jumbuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"Ravi Garden 2nd Street  Jumbuli Village, Kodungaiyur",Kodungaiyur,2
4,34,"Ravi Garden 3rd Street  Jumbuli Village, Kodungaiyur",Kodungaiyur,2
4,34,"Ravi Garden 4th Street  Jumbuli Village, Kodungaiyur",Kodungaiyur,3
4,34,"Ravi Garden Main Road  Jumbuli Village, Kodungaiyur",Kodungaiyur,3
4,34,"Rizwan Street (Milk Colony Road)  Jumbuli Village, Kodungaiyur",Kodungaiyur,18
4,34,"S.A Colony 1st Street  Kodungaiyur, Kodungaiyur",Kodungaiyur,2
4,34,"S.R.Nagar Extension 1st St  S.R.Nagar, Selavoyal",Selavoyal,2
4,34,"SRI BALAJI NAGAR  Selavoyal, Selavoyal",Selavoyal,5
4,34,"Sagaya Nagar  Jambuli Village, Kodungaiyur",Kodungaiyur,3
4,34,"Sasthri Nagar 3rd Street  Sastri Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Seetharam Nagar 1st Cross Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Seetharam Nagar 1st Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,5
4,34,"Seetharam Nagar 2nd Cross Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Seetharam Nagar 2nd Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,7
4,34,"Seetharam Nagar 3rd Cross Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Seetharam Nagar 3rd Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Seetharam Nagar 4th Cross Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Seetharam Nagar 4th Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Seetharam Nagar 5th Cross Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Seetharam Nagar 5th Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,9
4,34,"Seetharam Nagar 6th Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,5
4,34,"Seetharam Nagar 7th Street  Seetharam Nagar, Kodungaiyur",Kodungaiyur,7
4,34,"Seetharam Nagar Main Road  Seetharam Nagar, Kodungaiyur",Kodungaiyur,23
4,34,"Selva Vinayagar Nagar  Selva Vinayagar Nagar, Selavoyal",Selavoyal,3
4,34,"Solai Amman Koil 2nd Cross Street  Chinnandimadam, Kodungaiyur",Kodungaiyur,3
4,34,"Solai Amman Koil Main Road  Chinnandimadam, Kodungaiyur",Kodungaiyur,17
4,34,"Soundarya Nagar Road  Soundaraya Nagar, Kodungaiyur",Kodungaiyur,9
4,34,"Sowbhagya Nagar  Sowbhagya Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Sri Ram Nagar 2nd Street  Sri Ram Nagar, Kodungaiyur",Kodungaiyur,7
4,34,"Sriram Avenue Road  Sriram Avenue, Kodungaiyur",Kodungaiyur,5
4,34,"Srivari Nagar (N.S Garden)  Srivari Nagar, Kodungaiyur",Kodungaiyur,4
4,34,"Suganthamal Nagar  Suganthammal Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Suganthammal 1st Street  Suganthammal Nagar, Selavoyal",Selavoyal,1
4,34,"Suganthammal 2nd Street  Suganthammal Nagar, Selavoyal",Selavoyal,2
4,34,"Suganthammal 3rd Street  Suganthammal Nagar, Selavoyal",Selavoyal,3
4,34,"Thendral Nagar 1st Cross St  Thendral Nagar, Selavoyal",Selavoyal,1
4,34,"Thendral Nagar 1st Street  Thendral Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Thendral Nagar 2nd Cross St  Thendral Nagar, Selavoyal",Selavoyal,3
4,34,"Thendral Nagar 2nd Street  Thendral Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Thendral Nagar 3rd Cross St  Thendral Nagar, Selavoyal",Selavoyal,1
4,34,"Thendral Nagar 3rd Street  Thendral Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Thendral Nagar 4th Cross St  Thendral Nagar, Selavoyal",Selavoyal,1
4,34,"Thendral Nagar 4th Street  Thendral Nagar, Kodungaiyur",Kodungaiyur,5
4,34,"Thendral Nagar 5th Street  Thendral Nagar, Selavoyal",Selavoyal,6
4,34,"Thiruthankal Nagar Main Road  Thiruthankal Nagar, Selavoyal",Selavoyal,6
4,34,"Thiruvalluvar Salai  Chinnandimadam, Kodungaiyur",Kodungaiyur,32
4,34,"Thiyagaraya Nagar 2nd Street  Thyagaraya Nagar, Selavoyal",Selavoyal,1
4,34,"Tondiarpet High Road  Chinnandimadam, Kodungaiyur",Kodungaiyur,1
4,34,"Tondiarpet High Road  K.K.D.Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Tondiarpet High Road  Moolakadai, Kodungaiyur",Kodungaiyur,13
4,34,"Union Carbide Colony 14th  Street  Union Carbide Colony, Kodungaiyur",Kodungaiyur,3
4,34,"Union Carbide Colony 16 Th Street  Union Carbide Colony, Kodungaiyur",Kodungaiyur,2
4,34,"Union Carbide Colony 18th  Street  Union Carbide Colony, Kodungaiyur",Kodungaiyur,7
4,34,"Union Carbide Colony 19th  Street  Union Carbide Colony, Kodungaiyur",Kodungaiyur,1
4,34,"Union Carbide Colony 21st Street  Union Carbide Colony, Kodungaiyur",Kodungaiyur,2
4,34,"Union Carbide Colony 2nd Street  Union Carbide Colony, Kodungaiyur",Kodungaiyur,3
4,34,"Union Carbide Colony 3rd Street  Union Carbide Colony, Kodungaiyur",Kodungaiyur,2
4,34,"Union Carbide Colony 4th Street  Union Carbide Colony, Kodungaiyur",Kodungaiyur,3
4,34,"Union Carbide Colony 5th Street  Union Carbide Colony, Kodungaiyur",Kodungaiyur,1
4,34,"Union Carbide Colony 6th  Street  Union Carbide Colony, Kodungaiyur",Kodungaiyur,1
4,34,"VENKATESHWARA NAGAR MANALI MAIN ROAD  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Varalakshmi Nagar  Vijayalakshmi Nagar, Kodungaiyur",Kodungaiyur,5
4,34,"Vazhuthalai Medu Road  Venkateshwara Nagar, Selavoyal",Selavoyal,28
4,34,"Vedantha Murugappan 2nd Street  Vedantha Murgappan Salai, Selavoyal",Selavoyal,2
4,34,"Vedhantha Murugappan Salai (Othavadai Street)  Selavoyal, Selavoyal",Selavoyal,37
4,34,"Venkateshwara Colony 10th Street  ARUL NAGAR, MADHAVARAM MILK COLONY",MADHAVARAM MILK COLONY,1
4,34,"Venkateshwara Colony 10th Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,4
4,34,"Venkateswara Colony 1st Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,13
4,34,"Venkateswara Colony 2nd Street  Venkateshwara Nagar, Kodungaiyur",Kodungaiyur,13
