Zone,Div,Address,latitude,longitude
13,179," VELACHERY MAIN ROAD, BHARATHI NAGAR (THARAMANI ROAD)",12.98182392,80.23242861
13,179," ADVENT CHRISTIAN CEMETRY, VELACHERRY, CHENNAI",13.0084409,80.22147038
13,180, KANAGAM THARAMANI,12.99189685,80.24302768
13,181," RAJA SRINIVASA NAGAR, THIRUVANMIYUR",12.9856,80.265
13,182," 7TH CROSS STREET, THIRUVALLUVAR SALAI",12.97900281,80.26263071
14,168, USHA NAGAR,12.97915534,80.19959211
14,169, PUZHUTHIVAKKAM,12.96588463,80.20264534
14,183, VENKADESWARA COLONY,12.97390489,80.26289136
14,183, BHARATHI NAGAR KUPPAM,12.97097488,80.26375503
14,183, JEGANATHAN STREET,12.96792459,80.25938303
14,184, HINDU BURIAL GROUNDSCHOOL ROAD,12.96757342,80.24226881
14,184, MUSLIM BURIAL GROUND,12.96716306,80.24265773
14,184, CHRISTIAN BURIAL GROUND,12.96693403,80.24211007
14,185, HINDU BURIAL GROUND PALAVAKKAM,12.96600278,80.26102483
14,186, SEEVARAM PERUNGUDI ,12.95332469,80.24309629
14,188, SADASIVAM ,12.964,80.2055
14,189, MALEESWARAR ,12.93225586,80.21415359
14,189, MA.PO.CI NAGAR,12.9430133,80.21001376
14,190, VEERASAMY NAGAR,12.9251,80.2103
14,190, KOVALAN NAGAR,12.9312,80.207
14,190, PADASALI,12.92658716,80.19945385
14,191, VILLAGE BURIAL GROUND,12.91022979,80.19481359
14,191, PUTHU NAGAR,12.924027,80.20993303
15,192, CHINNA NEELANKARAI KUPPAM,12.94793059,80.25829337
15,192, PERIYA NEELANKARAI KUPPAM,12.94995905,80.25853477
15,192, NEELANKARAI VILLAGE,12.94636218,80.25719903
15,192, NEELANKARAI COLONY,12.95051845,80.25864205
15,193," BEHIND GOVT,HSC,SCHOOL",12.94810785,80.24173316
15,193," SUBRAYAN NAGAR 4TH STREET,THORAIPAKKAM",12.9429084,80.24636415
15,193," B-CANAL BEDSIDE,",12.95002118,80.24244833
15,194, METTUKUPPAM BURIAL GROUND RAGIV NAGAR,12.93518346,80.23745187
15,194, METTUKUPPAM BURIAL GROUND SOOLAIMA NAGAR,12.93520176,80.23642995
15,195, KANNAGI NAGAR BURIAL GROUND (HINDU),12.92527172,80.24239663
15,195," KANNAGI NAGAR, CHENNAI-97 (CHRISTIAN)",12.92474112,80.24212667
15,195, KANNAGI NAGAR BURIAL GROUND (MUSLIM),12.92435615,80.23770989
15,195, KANNAGI NAGAR BURIAL GROUND OKKIAMPETTAI,12.92723053,80.24320068
15,196, INJAMPAKKAM BURIAL GROUND,12.9241,80.2538
15,197," BURIAL GROUND SALAI,KARAPAKKAM, CHENNAI - 600 097",12.90936778,80.24208328
15,197," BURIAL GROUND SALAI,KARAPAKKAM, CHENNAI - 600 097",12.91691686,80.23968089
15,198," SATHIYAVANI MUTHU STREET,SOZHANGANALLUR",12.88904224,80.23459926
15,198," SATHIYAVANI MUTHU STREET,CHRISTAIN,SOZHANGANALLUR, CHENNAI - 600 119",12.88904224,80.23459926
15,198," SATHIYAVANI MUTHU STREET,CHRISTAIN,SOZHANGANALLUR,",12.88904224,80.23459926
15,198," TAMILNADU HOUSING BOARD, SOZHANGANALLUR",12.8845,80.2357
15,198, AKKARAI HINDU BURIAL GROUND,12.90486193,80.24723753
15,198," PANAYUR KUPPAM, SIVAN KOVIL HINDU BURIAL GROUND,",12.89031504,80.25242819
15,198," RAJIV GANDHINAGAR,SOZHANGANALLUR,",12.88974316,80.24507711
15,199," VGP LAYOUT, CHENNAI-115",12.8784,80.2487
15,199, NYNAR KUPPAM,12.87162306,80.24536914
15,199, COLONY,12.86154654,80.23132149
15,200, PONDICHERY PATTAI CREMATION SHED THOPPU MAYANAM,12.872,80.2114
15,200," VEERAVANCHERI NAGAR COLONY CHEMMANCHERY,",12.86154654,80.23132149
15,200," VILLAGE BURIAL GROUND OMR, CHEMMANCHERY",12.87381088,80.2298368
15,200, TSUNAMI NAGAR HOUSING BOARD CHEMMANCHERY,12.8537,80.2282
