Zone,Div,Street,Location,Area,latitude,longitude
6,70, PERAMBUR HIGH ROAD,PERAMBUR,PERAMBUR,13.10823157,80.24411078
6,77, PULLIANTHOPE HIGH ROAD,PULIANTHOPE,PULIANTHOPE,13.10001861,80.26011649
6,78, PERAMBUR BARRAKS ROAD,CHOOLAI,CHOOLAI,13.0906406,80.25889422
6,65, SENTHIL NAGAR I MAIN ROAD,SENTHIL NAGAR,KOLATHUR,13.12216634,80.20531634
8,100, IIIRD AVENUE,ANNA NAGAR,ANNA NAGAR,13.08124227,80.2180485
8,107, VAIDYANATHAN STREET,SHENOY NAGAR,SHENOY NAGAR,13.07064436,80.23199479
8,101, 3RD AVENUE,ANNA NAGAR,ANNA NAGAR,13.09262633,80.21799571
8,95, EAST MAIN ROAD,ANNA NAGAR WEST EXTN.,ANNA NAGAR WEST EXTN.,13.09326193,80.19718082
8,100, IIND AVENUE,ANNA NAGAR,ANNA NAGAR,13.0850594,80.21511545
8,102, MOSQUE STREET,KILPAUK,KILPAUK,13.08286333,80.22721717
9,123, CHAMIERS ROAD,RAJA ANNAMALAI PURAM,RAJA ANNAMALAI PURAM,13.02355922,80.2529078
9,122, CHAMIERS ROAD,RAJA ANNAMALAI PURAM,RAJA ANNAMALAI PURAM,13.03006394,80.24342556
9,117, V.V KOIL STREET,TEYNAMPET,TEYNAMPET,13.04876497,80.24939791
9,109, ATHERAYAPURAM MAIN ROAD,CHOOLAIMEDU,CHOOLAIMEDU,13.06233932,80.22757803
9,124, KUTCHERY ROAD,MYLAPORE,MYLAPORE,13.03557147,80.27040615
9,125, LOOP ROAD,SANTHOME,MYLAPORE,13.03915882,80.27928664
9,125, KAMARAJAR SALAI,KARANEESWARARPURAM,MYLAPORE,13.04227918,80.27894941
9,116, THULASINGA PERUMAL KOIL 2ND STREET,TRIPLICANE,TRIPLICANE,13.05221933,80.27747133
9,119, NALLANNA MUDALI STREET,ROYAPETTAH,ROYAPETTAH,13.05058694,80.26497235
9,111, ANNA SALAI,TEYNAMPET,TEYNAMPET,13.06107836,80.26225171
9,119, THIRU. VI. KA SALAI,ROYAPETTAH,ROYAPETTAH,13.05200928,80.26374762
9,114, WALLAJAH ROAD,CHEPAUK,CHEPAUK,13.06692574,80.27412634
10,132, VIJAYA STREET,ASHOK NAGAR,ASHOK NAGAR,13.04402436,80.21719357
10,137, M.G.R.NAGAR VENKATARAMAN SALAI,M.G.R.NAGAR,K.K.NAGAR,13.03108358,80.19666665
10,138, S.M.BLOCK - GURUSHEV STREET,SATHYAMOORTHY BLOCK,JAFFERKHANPET,13.03111738,80.20176837
10,131, P.T. RAJAN ROAD,K.K.NAGAR,K.K.NAGAR,13.04169905,80.20541433
10,127, KALIAMMAN KOIL STREET,KOYAMBEDU,KOYAMBEDU,13.06972869,80.20031486
10,142, BAZAAR ROAD,SAIDAPET,SAIDAPET,13.02290841,80.22580382
10,139, R.V.NAGAR 76TH STREET,R.V.NAGAR,JAFFERKHANPET,13.0301314,80.2106727
10,136, MUTHURANGAN SALAI,T.NAGAR,T.NAGAR,13.03503192,80.2294179
10,136, NAGESWARA RAO ROAD,T.NAGAR,T.NAGAR,13.04147298,80.23425832
10,136, SIR THEYAGARAYA ROAD,T.NAGAR,T.NAGAR,13.04085093,80.2352187
10,130, N.S.K SALAI,VADAPALANI,VADAPALANI,13.04952578,80.21167069
10,129, ABUSALI STREET,SALIGRAMAM,SALIGRAMAM,13.04968038,80.19933326
13,171, GANDHI MANDAPAM ROAD,GUINDY,GUINDY,13.01732652,80.24115332
13,180, NEHRU STREET KANAGAM,KANAGAM,TARAMANI,12.99457482,80.24298879
13,170, KATHIPARA ROAD,SIDCO INDUSTRIAL ESTATE,GUINDY,13.00931329,80.21073295
13,178, VELACHERY MAIN ROAD,VELACHERY,VELACHERY,12.98097281,80.22087239
13,170, INDUSTRIAL ESTATE,GUINDY,GUINDY,13.01809196,80.21291174
13,171, ANNA SALAI,ANNA SALAI,C.I.T. NAGAR,13.02233614,80.22607511
