City,Result,Cause of accident,Type
BENGALURU,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
BENGALURU,0.0,Animal Crossing,Cases
BENGALURU,0.0,Animal Crossing,Injured
BENGALURU,0.0,Animal Crossing,Died
BENGALURU,0.0,Weather Condition (Poor Visibility),Cases
BENGALURU,0.0,Weather Condition (Poor Visibility),Injured
BENGALURU,0.0,Weather Condition (Poor Visibility),Died
BENGALURU,0.0,Weather Condition (Others Causes),Cases
BENGALURU,0.0,Weather Condition (Others Causes),Injured
BENGALURU,0.0,Weather Condition (Others Causes),Died
BENGALURU,0.0,Lack of Road Infrastructure,Cases
BENGALURU,0.0,Lack of Road Infrastructure,Injured
BENGALURU,0.0,Lack of Road Infrastructure,Died
BENGALURU,0.0,Vehicles parked at road  Shoulders,Cases
BENGALURU,0.0,Vehicles parked at road  Shoulders,Injured
BENGALURU,0.0,Vehicles parked at road  Shoulders,Died
BENGALURU,0.0,Causes Not Known,Cases
BENGALURU,0.0,Causes Not Known,Injured
BENGALURU,0.0,Causes Not Known,Died
BHOPAL,1061.0,Careless driving/overtaking,Cases
BHOPAL,874.0,Careless driving/overtaking,Injured
BHOPAL,57.0,Careless driving/overtaking,Died
BHOPAL,139.0,Over speeding,Cases
BHOPAL,133.0,Over speeding,Injured
BHOPAL,16.0,Over speeding,Died
BHOPAL,0.0,DUI,Cases
BHOPAL,0.0,DUI,Injured
BHOPAL,0.0,DUI,Died
BHOPAL,0.0,Physical Fatigue of Drivers,Cases
BHOPAL,0.0,Physical Fatigue of Drivers,Injured
BHOPAL,0.0,Physical Fatigue of Drivers,Died
BHOPAL,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
BHOPAL,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
BHOPAL,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
BHOPAL,0.0,Animal Crossing,Cases
BHOPAL,0.0,Animal Crossing,Injured
BHOPAL,0.0,Animal Crossing,Died
BHOPAL,0.0,Weather Condition (Poor Visibility),Cases
BHOPAL,0.0,Weather Condition (Poor Visibility),Injured
BHOPAL,0.0,Weather Condition (Poor Visibility),Died
BHOPAL,0.0,Weather Condition (Others Causes),Cases
BHOPAL,0.0,Weather Condition (Others Causes),Injured
BHOPAL,0.0,Weather Condition (Others Causes),Died
BHOPAL,19.0,Lack of Road Infrastructure,Cases
BHOPAL,15.0,Lack of Road Infrastructure,Injured
BHOPAL,0.0,Lack of Road Infrastructure,Died
BHOPAL,0.0,Vehicles parked at road  Shoulders,Cases
BHOPAL,0.0,Vehicles parked at road  Shoulders,Injured
BHOPAL,0.0,Vehicles parked at road  Shoulders,Died
BHOPAL,131.0,Causes Not Known,Cases
BHOPAL,57.0,Causes Not Known,Injured
BHOPAL,5.0,Causes Not Known,Died
CHANDIGARH (CITY),10.0,Careless driving/overtaking,Cases
CHANDIGARH (CITY),9.0,Careless driving/overtaking,Injured
CHANDIGARH (CITY),2.0,Careless driving/overtaking,Died
CHANDIGARH (CITY),132.0,Over speeding,Cases
CHANDIGARH (CITY),130.0,Over speeding,Injured
CHANDIGARH (CITY),49.0,Over speeding,Died
CHANDIGARH (CITY),3.0,DUI,Cases
CHANDIGARH (CITY),3.0,DUI,Injured
CHANDIGARH (CITY),1.0,DUI,Died
CHANDIGARH (CITY),0.0,Physical Fatigue of Drivers,Cases
CHANDIGARH (CITY),0.0,Physical Fatigue of Drivers,Injured
CHANDIGARH (CITY),0.0,Physical Fatigue of Drivers,Died
CHANDIGARH (CITY),0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
CHANDIGARH (CITY),0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
CHANDIGARH (CITY),0.0,Defect in Mechanical Condition of Motor Vehicle,Died
CHANDIGARH (CITY),0.0,Animal Crossing,Cases
CHANDIGARH (CITY),0.0,Animal Crossing,Injured
CHANDIGARH (CITY),0.0,Animal Crossing,Died
CHANDIGARH (CITY),0.0,Weather Condition (Poor Visibility),Cases
CHANDIGARH (CITY),0.0,Weather Condition (Poor Visibility),Injured
CHANDIGARH (CITY),0.0,Weather Condition (Poor Visibility),Died
CHANDIGARH (CITY),0.0,Weather Condition (Others Causes),Cases
CHANDIGARH (CITY),0.0,Weather Condition (Others Causes),Injured
CHANDIGARH (CITY),0.0,Weather Condition (Others Causes),Died
CHANDIGARH (CITY),0.0,Lack of Road Infrastructure,Cases
CHANDIGARH (CITY),0.0,Lack of Road Infrastructure,Injured
CHANDIGARH (CITY),0.0,Lack of Road Infrastructure,Died
CHANDIGARH (CITY),0.0,Vehicles parked at road  Shoulders,Cases
CHANDIGARH (CITY),0.0,Vehicles parked at road  Shoulders,Injured
CHANDIGARH (CITY),0.0,Vehicles parked at road  Shoulders,Died
CHANDIGARH (CITY),0.0,Causes Not Known,Cases
CHANDIGARH (CITY),0.0,Causes Not Known,Injured
CHANDIGARH (CITY),0.0,Causes Not Known,Died
CHENNAI,589.0,Careless driving/overtaking,Cases
CHENNAI,461.0,Careless driving/overtaking,Injured
CHENNAI,176.0,Careless driving/overtaking,Died
CHENNAI,1126.0,Over speeding,Cases
CHENNAI,895.0,Over speeding,Injured
CHENNAI,265.0,Over speeding,Died
CHENNAI,589.0,DUI,Cases
CHENNAI,726.0,DUI,Injured
CHENNAI,236.0,DUI,Died
CHENNAI,257.0,Physical Fatigue of Drivers,Cases
CHENNAI,334.0,Physical Fatigue of Drivers,Injured
CHENNAI,29.0,Physical Fatigue of Drivers,Died
CHENNAI,237.0,Defect in Mechanical Condition of Motor Vehicle,Cases
CHENNAI,417.0,Defect in Mechanical Condition of Motor Vehicle,Injured
CHENNAI,52.0,Defect in Mechanical Condition of Motor Vehicle,Died
CHENNAI,128.0,Animal Crossing,Cases
CHENNAI,427.0,Animal Crossing,Injured
CHENNAI,27.0,Animal Crossing,Died
CHENNAI,115.0,Weather Condition (Poor Visibility),Cases
CHENNAI,167.0,Weather Condition (Poor Visibility),Injured
CHENNAI,11.0,Weather Condition (Poor Visibility),Died
CHENNAI,79.0,Weather Condition (Others Causes),Cases
CHENNAI,167.0,Weather Condition (Others Causes),Injured
CHENNAI,10.0,Weather Condition (Others Causes),Died
CHENNAI,428.0,Lack of Road Infrastructure,Cases
CHENNAI,377.0,Lack of Road Infrastructure,Injured
CHENNAI,19.0,Lack of Road Infrastructure,Died
CHENNAI,187.0,Vehicles parked at road  Shoulders,Cases
CHENNAI,107.0,Vehicles parked at road  Shoulders,Injured
CHENNAI,7.0,Vehicles parked at road  Shoulders,Died
CHENNAI,365.0,Causes Not Known,Cases
CHENNAI,112.0,Causes Not Known,Injured
CHENNAI,16.0,Causes Not Known,Died
COIMBATORE,181.0,Careless driving/overtaking,Cases
COIMBATORE,199.0,Careless driving/overtaking,Injured
COIMBATORE,7.0,Careless driving/overtaking,Died
COIMBATORE,516.0,Over speeding,Cases
COIMBATORE,514.0,Over speeding,Injured
COIMBATORE,58.0,Over speeding,Died
COIMBATORE,10.0,DUI,Cases
COIMBATORE,9.0,DUI,Injured
COIMBATORE,0.0,DUI,Died
COIMBATORE,0.0,Physical Fatigue of Drivers,Cases
COIMBATORE,0.0,Physical Fatigue of Drivers,Injured
COIMBATORE,0.0,Physical Fatigue of Drivers,Died
COIMBATORE,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
COIMBATORE,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
COIMBATORE,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
COIMBATORE,0.0,Animal Crossing,Cases
COIMBATORE,0.0,Animal Crossing,Injured
COIMBATORE,0.0,Animal Crossing,Died
COIMBATORE,0.0,Weather Condition (Poor Visibility),Cases
COIMBATORE,0.0,Weather Condition (Poor Visibility),Injured
COIMBATORE,0.0,Weather Condition (Poor Visibility),Died
COIMBATORE,0.0,Weather Condition (Others Causes),Cases
COIMBATORE,0.0,Weather Condition (Others Causes),Injured
COIMBATORE,0.0,Weather Condition (Others Causes),Died
COIMBATORE,0.0,Lack of Road Infrastructure,Cases
COIMBATORE,0.0,Lack of Road Infrastructure,Injured
COIMBATORE,0.0,Lack of Road Infrastructure,Died
COIMBATORE,0.0,Vehicles parked at road  Shoulders,Cases
COIMBATORE,0.0,Vehicles parked at road  Shoulders,Injured
COIMBATORE,0.0,Vehicles parked at road  Shoulders,Died
COIMBATORE,0.0,Causes Not Known,Cases
COIMBATORE,0.0,Causes Not Known,Injured
COIMBATORE,0.0,Causes Not Known,Died
DELHI (CITY),1729.0,Careless driving/overtaking,Cases
DELHI (CITY),1527.0,Careless driving/overtaking,Injured
DELHI (CITY),430.0,Careless driving/overtaking,Died
DELHI (CITY),1493.0,Over speeding,Cases
DELHI (CITY),1100.0,Over speeding,Injured
DELHI (CITY),505.0,Over speeding,Died
DELHI (CITY),71.0,DUI,Cases
DELHI (CITY),74.0,DUI,Injured
DELHI (CITY),15.0,DUI,Died
DELHI (CITY),6.0,Physical Fatigue of Drivers,Cases
DELHI (CITY),4.0,Physical Fatigue of Drivers,Injured
DELHI (CITY),1.0,Physical Fatigue of Drivers,Died
DELHI (CITY),6.0,Defect in Mechanical Condition of Motor Vehicle,Cases
DELHI (CITY),6.0,Defect in Mechanical Condition of Motor Vehicle,Injured
DELHI (CITY),0.0,Defect in Mechanical Condition of Motor Vehicle,Died
DELHI (CITY),21.0,Animal Crossing,Cases
DELHI (CITY),24.0,Animal Crossing,Injured
DELHI (CITY),2.0,Animal Crossing,Died
DELHI (CITY),66.0,Weather Condition (Poor Visibility),Cases
DELHI (CITY),60.0,Weather Condition (Poor Visibility),Injured
DELHI (CITY),19.0,Weather Condition (Poor Visibility),Died
DELHI (CITY),31.0,Weather Condition (Others Causes),Cases
DELHI (CITY),27.0,Weather Condition (Others Causes),Injured
