மண்டலம் ,வார்டு எண்,மரியாதைத் தலைப்பு,வேட்பாளரின் பெயர்,வேட்பாளரின் தந்தை/கணவர் பெயர்,பாலினம்‌,வயது,அரசியல் கட்சியின் பெயர்,கட்சியின் பெயர் (s),Name of candidate,Party (s),Party name,இட ஒதுக்கீடு ,Reservation
4,44,திருமதி, சர்பஜெயா தாஸ்,நரேந்திரன்,பெண்,41,திராவிட முன்னேற்றக் கழகம்,திமுக,Surbajaya Das,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
4,45,திரு,கோ  கோபிநாத்,கோபால்,ஆண்,54,விடுதலைச் சிறுத்தைகள் கட்சி,விசிக,Gopinath,VCK,Viduthalai Chiruthaigal Katchi,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
4,46,திருமதி,சி ஆனந்தி,இ சிவராஜ்,பெண்,46,திராவிட முன்னேற்றக் கழகம்,திமுக,Anandhi,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
4,47,திருமதி,ஏ மணிமேகலை ,க ஏழுமலை,பெண்,52,திராவிட முன்னேற்றக் கழகம்,திமுக,Manimegalai,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
4,48,திருமதி,வி விஜயலஷ்மி என்கிற விஜயலஷ்மி விஜயகுமார்,விஜயகுமார்,பெண்,41,திராவிட முன்னேற்றக் கழகம்,திமுக,Vijayalakshmi (A) Vijayalakshmi Vijayakumar,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
5,49,திரு, தா இளங்கோ என்கிற தா இளைய அருணா பி  இ,டேவிட்,ஆண்,61,திராவிட முன்னேற்றக் கழகம்,திமுக,Elango alias lllaya aruna,DMK,Dravida Munnetra Kazhagam,பொது,General
5,50,திரு,ரா சுரேஷ்குமார்,ராமசாமி ,ஆண்,46,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Sureshkumar,INC,Indian National Congress,பொது,General
5,51,திருமதி, நிரஞ்ஜனா ஜெகதீசன் பி இ,ஜெகதீசன்,பெண்,26,திராவிட முன்னேற்றக் கழகம்,திமுக,Niranjana Jagadeesan,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
5,52,திருமதி,சு கீதா வ பெ சுரேஷ், வி பி சுரேஷ் ஜெயக்குமார்,பெண்,42,திராவிட முன்னேற்றக் கழகம்,திமுக,Geetha Suresh,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
5,53,திருமதி,பா வேளாங்கண்ணி,பாண்டியன்,பெண்,62,திராவிட முன்னேற்றக் கழகம்,திமுக,Velakanni,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
5,54,திரு,ப ஸ்ரீராமுலு,கே.ஆர்.பத்மநாபன்,ஆண்,58,திராவிட முன்னேற்றக் கழகம்,திமுக,Sriramulu,DMK,Dravida Munnetra Kazhagam,பொது,General
5,55,திரு,ல நவீன்,லத்திப்,ஆண்,45,திராவிட முன்னேற்றக் கழகம்,திமுக,Naveen.L,DMK,Dravida Munnetra Kazhagam,பொது,General
5,56,திரு,வெ பரிமளம்,வெங்கடேசன் டி,ஆண்,50,திராவிட முன்னேற்றக் கழகம்,திமுக,Parimalam,DMK,Dravida Munnetra Kazhagam,பொது,General
5,57,திரு, ராஜேஷ் ஜெயின்,நத்மல் ஜெயின்,ஆண்,49,திராவிட முன்னேற்றக் கழகம்,திமுக,Rajesh Jain,DMK,Dravida Munnetra Kazhagam,பொது,General
5,58,திருமதி,ஸ்ரீ இராஜேஸ்வரி,ஆர்.ஸ்ரீதர்,பெண்,39,திராவிட முன்னேற்றக் கழகம்,திமுக,Rajeswari,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
5,59,திருமதி,க சரஸ்வதி,கருணாநிதி,பெண்,57,திராவிட முன்னேற்றக் கழகம்,திமுக,Saraswathi,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
5,60,திரு,இசட் ஆசாத்,ஜவாஹிர்,ஆண்,57,திராவிட முன்னேற்றக் கழகம்,திமுக,Azath Z,DMK,Dravida Munnetra Kazhagam,பொது,General
5,61,திருமதி, பாத்திமா அஹமத்,முசப்பர் அஹமத்,பெண்,50,இந்திய ஒன்றிய முஸ்லிம் லீக்,இஒஇகூ,Fathima Ahamath,IUML,Indian Union Muslim League,பெண்கள் (பொது) ,Women (General)
5,62,திரு,ரா ஜெகதீசன்,ராஜமாணிக்கம்,ஆண்,49,திராவிட முன்னேற்றக் கழகம்,திமுக,Jegadesan,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
5,63,திரு, சிவ ராஜசேகரன்,சிவரமலிங்கம் ,ஆண்,46,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Rajasekaran,INC,Indian National Congress,பொது,General
6,64,திரு,எ நாகராஜன்,எட்டியப்பன்,ஆண்,62,திராவிட முன்னேற்றக் கழகம்,திமுக,A.Nagarajan,DMK,Dravida Munnetra Kazhagam,பொது,General
6,65,திருமதி,கு சாரதா   ,என் குப்பையா ,பெண்,48,திராவிட முன்னேற்றக் கழகம்,திமுக,Saratha,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
6,66,திருமதி, யோக பிரியா ,எஸ் தனசேகர் ,பெண்,32,திராவிட முன்னேற்றக் கழகம்,திமுக,Yogapriya,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
6,67,திருமதி,எம்  தாவூத் பீ ,பி கலீல் ,பெண்,50,திராவிட முன்னேற்றக் கழகம்,திமுக,Dawood Bee,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
6,68,திருமதி,பி  அமுதா ,ஜி பொன்னிவளவன் ,பெண்,46,திராவிட முன்னேற்றக் கழகம்,திமுக,Amudha,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
6,69,திருமதி,ரா சரிதா,மகேஷ் குமார்,பெண்,41,திராவிட முன்னேற்றக் கழகம்,திமுக,Saritha,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
6,70,திருமதி,சி ஸ்ரீதனி,தினேஷ்,பெண்,29,திராவிட முன்னேற்றக் கழகம்,திமுக,Sridhani,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
6,71,திருமதி, புனிதவதி என்கிற புனிதவதி எத்திராஜன்,எத்திராஜன்,பெண்,63,திராவிட முன்னேற்றக் கழகம்,திமுக,Punithavathi alais Punithavathi Ethirajan,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
6,72,திரு,மு சரவணன்,முருகேசன்,ஆண்,52,திராவிட முன்னேற்றக் கழகம்,திமுக,Saravanan,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
6,73,திரு, அம்பேத்வளவன் என்கிற  குமாரசாமி, சந்திரன்,ஆண்,44,விடுதலைச் சிறுத்தைகள் கட்சி,விசிக,Ambedvalavan (A) Kumarasamy,VCK,Viduthalai Chiruthaigal Katchi,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
6,74,திருமதி,ஆர் பிரியா,கே ராஜா,பெண்,28,திராவிட முன்னேற்றக் கழகம்,திமுக,Priya.R,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
6,75,திருமதி,எல் ரமணி,டி லோகேஷ்,பெண்,37,திராவிட முன்னேற்றக் கழகம்,திமுக,Ramani,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
6,76,திருமதி,எஸ் தமிழ்செல்வி,எஸ் சசிகுமார்,பெண்,33,திராவிட முன்னேற்றக் கழகம்,திமுக,Tamilselvi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
6,77,திருமதி, சுமதி,பி.இ புத்தநேசன்,பெண்,36,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Sumathi,INC,Indian National Congress,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
6,78,திரு,சொ வேலு,மு சொக்கலிங்கம்,ஆண்,38,திராவிட முன்னேற்றக் கழகம்,திமுக,Velu,DMK,Dravida Munnetra Kazhagam,பொது,General
7,79,திருமதி,மோ பானுபிரியா,இரா மோகனரங்கன்,பெண்,35,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Banupriya,INC,Indian National Congress,பெண்கள் (பொது) ,Women (General)
7,80,திரு,பி கே மூர்த்தி,பக்தவச்சலம்,ஆண்,58,திராவிட முன்னேற்றக் கழகம்,திமுக,Moorthi,DMK,Dravida Munnetra Kazhagam,பொது,General
7,81,திருமதி,கோ டாக்டர் சாந்தகுமாரி,டாக்டர் கோபிநாத்,பெண்,52,திராவிட முன்னேற்றக் கழகம்,திமுக,Shantha Kumari,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
7,82,திரு,வி  இரமேஷ் எ நீலகண்டன்,எம் வில்வநாதன்,ஆண்,47,திராவிட முன்னேற்றக் கழகம்,திமுக,Ramesh (A) Neelakandan,DMK,Dravida Munnetra Kazhagam,பொது,General
7,83,திருமதி,ந உஷா,எம் டீ ஆர் நாகராஜ்,பெண்,38,திராவிட முன்னேற்றக் கழகம்,திமுக,Usha,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
7,84,திரு,ஜே ஜான்,அ ஜேம்ஸ் லோகநாதன் ,ஆண்,42,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,John J,ADMK,All India Anna Dravida Munnetra Kazhagam,பொது,General
7,85,திருமதி,க பொற்கொடி,நடேசன்,பெண்,47,திராவிட முன்னேற்றக் கழகம்,திமுக,Porkodi,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
7,86,திரு,ம கமல்,மணி,ஆண்,46,திராவிட முன்னேற்றக் கழகம்,திமுக,Kamal,DMK,Dravida Munnetra Kazhagam,பொது,General
7,87,செல்வி,செல்வி டாக்டர் பூர்ணிமா அ ப,எ என் புருஷோத்தம்,பெண்,29,திராவிட முன்னேற்றக் கழகம்,திமுக,Poornima,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
7,88,திருமதி,க வி நாகவள்ளி,ஜி பிரபாகரன்,பெண்,51,திராவிட முன்னேற்றக் கழகம்,திமுக,Nagavalli,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
7,89,திரு,எம் ஈ சேகர்,ஏகாம்பரம்,ஆண்,53,திராவிட முன்னேற்றக் கழகம்,திமுக,Sekar M.E,DMK,Dravida Munnetra Kazhagam,பொது,General
7,90,திரு,டி எஸ் பி இராஜகோபால்,பெருமாள்,ஆண்,65,திராவிட முன்னேற்றக் கழகம்,திமுக,Rajagopal,DMK,Dravida Munnetra Kazhagam,பொது,General
