Title,Rice,Wheat,Atta,Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati/Dalda,Soya Oil,Sunflower Oil,Palm Oil,Jaggery,Tea,Salt,Potato,Onion,Tomato,Date,Lat,Lon,Zone
KAUSHAMBI,43,26,40,72,133,138,113,92,42,61,163,152,133,141,167,121,50,227,28,20,25,20,2023-06-15,,,
KUSHINAGAR,29,24,34,69,120,111,112,88,42,65,208,157,122,150,164,109,46,235,27,17,20,24,2023-06-15,,,
LAKHIMPUR KHERI,40,25,31,62,142,107,117,100,40,58,218,158,130,157,158,115,53,215,28,18,20,36,2023-06-15,,,
PILIBHIT,38,25,30,90,140,120,120,120,41,66,210,145,145,140,155,115,40,353,28,18,25,25,2023-06-15,,,
SHARWASTI,34,25,33,72,122,123,118,85,42,60,NR,162,141,130,NR,107,50,240,28,20,20,29,2023-06-15,,,
SIDDHARTH NAGAR,36,26,29,73,108,119,116,93,40,61,170,160,135,150,188,108,40,230,27,17,20,16,2023-06-15,,,
SONBHADRA,36,25,27,72,112,95,98,93,42,60,200,151,134,149,157,107,49,268,25,15,19,18,2023-06-15,,,
RAMPUR,30,24,26,67,122,112,104,86,41,57,181,128,154,114,129,102,42,220,22,13,17,13,2023-06-15,,,
BAHRAICH,32,23,30,65,120,110,112,100,38,45,168,167,170,150,170,120,42,250,28,15,18,16,2023-06-15,,,
BASTI,44,23,32,71,142,112,106,83,42,65,159,140,133,135,144,97,47,242,25,20,22,43,2023-06-15,,,
ETAWAH,41,25,30,77,135,113,104,93,44,65,198,128,128,130,188,117,45,239,28,13,19,17,2023-06-15,,,
MUZZAFARNAGAR,36,24,28,71,105,106,106,106,41,70,141,131,126,137,162,104,36,215,27,14,21,20,2023-06-15,,,
CHITRAKOOT,42,24,27,66,135,93,95,90,41,55,210,128,127,130,130,105,45,210,28,20,20,30,2023-06-15,,,
HAMIRPUR-UP,40,27,34,72,127,121,109,89,42,69,190,145,134,134,180,102,44,280,26,15,23,23,2023-06-15,,,
DEORIA,37,25,29,66,137,96,103,95,45,58,197,130,125,125,134,131,47,227,27,15,16,25,2023-06-15,,,
HAPUR,33,26,33,70,145,119,110,100,40,60,205,148,142,142,157,112,43,220,28,17,19,20,2023-06-15,,,
BULANDSHAHR,35,23,28,61,118,95,95,97,40,56,NR,160,125,160,165,96,38,190,25,16,16,16,2023-06-15,,,
KANPUR DEHAT,38,23,29,70,125,128,89,92,40,66,200,125,150,150,185,110,40,210,20,12,20,17,2023-06-15,,,
HATHRAS,35,25,28,79,97,100,93,91,40,62,165,115,147,125,173,140,45,227,25,15,20,18,2023-06-15,,,
RAEBARELI,38,27,29,72,139,105,110,78,41,67,211,129,115,120,151,110,50,239,26,20,20,30,2023-06-15,,,
LALITPUR,35,23,26,69,116,96,95,96,41,53,175,143,137,133,190,136,39,258,25,19,19,18,2023-06-15,,,
