Zone,Div,Type,Location,Address,latitude,longitude,,
6,76,CHS,STRAHANS ROAD,"NO.4. STRAHANS ROAD,PATTALAM, CHENNAI-600 012",13.09708847, 80.258777556],,
8,108,CHS,MMDA-II,"NO.35,N-BLOCK BHAGATH SINGH II ST,MMDA COLONY, ARUMBAKKAM, CHENNAI-600 106",13.0667454, 80.215127594],,
8,107,CHS,MCNICHOLS,"NO.88,MCNICHOLS ROAD,CHETPET, CHENNAI-600 031",13.07258531, 80.229716882],,
8,103,CHS,KILPAUK,"NO.9,THIYAGAPPA ST, KILPAUK GARDEN, KILPAUK, CHENNAI -600 010",13.08321779, 80.234708687],,
9,109,CHS,T.V.PURAM,"NO.45A,SANKARAPURAM MAIN ROAD,CHOOLAIMEDU, CHENNAI-600 094",13.06354973, 80.227830272],,
9,111,CHS,THOUSAND LIGHT,"NO.1.MODEL SCHOOL ROAD,THOUSAND LIGHTS,CHENNAI-600 006",13.05848741, 80.252111312],,
9,120,CGHS,IRUSAPPA,"7, IRUSAPPA ST.,  TRIPLICANE,CHENNAI-600 005",13.0510689, 80.275057678],,
9,121,CHS,V.P.KOIL STREET,"NO.103, V.P. KOIL STREET MYLAPORE CHENNAI - 600 004",13.04746483, 80.268574155],,
9,125,CHS,K.P.STREET,"NO.45, KARESWAR BAKODA STREET, MYLAPORE, CHENNAI - 600 004",13.03808712, 80.278193751],,
10,132,CHS,KANNIYAPPA NAGAR,"NO.46, 83RD STREET, ASHOK NAGAR, CHENNAI - 600 083",13.04036168, 80.207368681],,
10,134,CHS,RANGARAJAPURAM,"67/27, RANGARAJAPURAM MAIN ROAD, RANGARAJAPURAM, KODAMBAKKAM CHENNAI - 600 024",13.04659969, 80.226136586],,
10,139,CHS,JAFFERKHANPET,"NO.69, PILLAYAR KOIL STREET JAFFERKHANPET, CHENNAI- 600 083",13.03197736, 80.212853672],,
10,141,CHS,KANNAMMAPET,"78, NEW BOAGS ROAD , KANNAMMAPET , T-NAGAR , CHENNAI -600 017",13.03037985, 80.228635285],,
13,172,CHS,KOTTUR,"19/2, NEW ST,KOTTUR,  CHENNAI - 600 085",13.01546799, 80.242100646],,
13,175,CHS,KAMARAJ AVENUE,"NO.76,2ND STREET,KAMARAJ AVENUE,ADYAR, CHENNAI 600 020",13.00153735, 80.253752948],,
4,35,CMS,CHINNANDIMADAM,"138, THONDAIYARPET HIGH ROAD CHINNANDIMADAM CHENNAI - 600 118",13.1289083, 80.249132394],,
4,35,CMS,GPW COLONY,"GPW COLONY KAMARAJ NAGAR, NEWWASHERMENPET, CHENNAI - 600 081",13.1289083, 80.249132394],,
4,40,CMS,CORONATION NAGAR,"103, ENNORE HIGH ROAD, CORONATION NAGAR CHENNAI - 600 021",13.13685149, 80.288651947],,
4,44,CMS,NEW KAMARAJ NAGAR,"78,NEHRUJI STREET,   NEW KAMARAJ NAGAR,CHENNAI - 600 039",13.1187568, 80.246248523],,
4,46,CMS,VYSARPADI,"48,MOORTHINGAR STREET,   VYASARPADI, CHENNAI - 600 039",13.11149547, 80.266305858],,
4,47,CMS,BUDDHA STREET,"13, KANNAN ST ,CHENNAI - 600 021",13.10873322, 80.272002695],,
4,47,CMS,RANGANATHANPURAM,"8,KANNAN STREET,  RANGANATHAPURAM,CHENNAI - 600 021",13.10873322, 80.272002695],,
4,48,CMS,TH ROAD,"1, NAINIAPPAN STREET,OLD WASHERMENPET,CHENNAI - 600 021",13.1153167, 80.281787965],,
5,51,CMS,SANJEEVARAYAN STREET,"NO.82, SANJEEVIRAYAN ST,  OLD WASHERMENPET,CHENNAI - 600 021",13.10973901, 80.284546532],,
4,43,CMS,VINAYAGAPURAM,"NO.49, VINAYAGAPURAM MAIN ROAD, TONDIARPET,CHENNAI- 600 081",13.06301811, 80.214117726],,
4,43,CMS,PUDUMANAIKUPPAM,"NO.17/33, S.N STREET, ROYAPURAM, CHENNAI- 600 013",13.11528108, 80.295481348],,
4,43,CMS,KUMMALAMMAN KOIL STREET,"NO.33 KUMMALAMMAN KOIL ST, TONDIARPET, CHENNAI- 600 081",13.12572107, 80.293170396],,
5,50,CMS,DURAI  STREET,"NO.9 DURAI ST, ROYAPURAM, CHENNAI- 600 013",13.11519452, 80.292768793],,
5,53,CMS,PADAVATTAMMAN,"NO.45, PADAVATTAMMAN KOIL ST, KONDITHOPE, CHENNAI - 600 079",13.10338294, 80.276054239],,
5,53,CUGMS,WASHERMENTPET,"21, JEYARAM ST, WASHERMENPET CHENNAI - 600 021",13.11153474, 80.280700268],,
5,54,CMS,AMMAN KOIL STREET,"130,AMMAN KOIL ST, KONDITHOPE, CHENNAI -600 079",13.09930402, 80.275781051],,
5,55,CMS,SEVENWELLS,"NO. 178, PORTUGEESE ST, CHENNAI - 600 001",13.10478425, 80.284658247],,
5,56,CUGMS,BROADWAY,"NO.2, AMMAN KOIL ST, ASIRWATHAPURAM, BROADWAY, CHENNAI - 600 108",13.09770423, 80.285728552],,
5,56,CMS,S.V.KOIL STREET,"NO.16, SALAI VINAYAGAR KOIL ST, CHENNAI - 600 001",13.09770423, 80.285728552],,
5,56,CMS,RAMASAMY STREET,"NO.11/44, RAMASAMY ST,MANNADI , CHENNAI - 600 001",13.09770423, 80.285728552],,
5,57,CMS,ANNA PILLAI STREET,"87,ANNA PILLAI ST,  CHENNAI -600 079",13.09389651, 80.275484886],,
5,58,CMS,V.K.PILLAI STREET,"22,VATHIAR KANTHA  PILLAI ST,  CHOOLAI, CHENNAI - 600 112",13.08848804, 80.259149195],,
5,58,CMS,AP ROAD,"3, AVADANA PAPPIAH ROAD,CHOOLAI, CHENNAI - 600 112",13.08848804, 80.259149195],,
5,58,CMS,AP ROAD,"72 , AVADANA PAPPIAH ROAD, CHOOLAI,CHENNAI - 600 113",13.08848804, 80.259149195],,
5,58,CMS,VAIKKAKARAN STREET,"13,VAIKKAKARAN STREET,PURASAIWAKKAM, CHENNAI - 600 007",13.08848804, 80.259149195],,
5,59,CMS,MINT STREET,"246, MINT STREET,PARK TOWN, CHENNAI - 600 003",13.06753392, 80.271598392],,
5,59,CMS,ELLISPURAM,"74, ELLIS ROAD, CHENNAI - 600 002",13.06753392, 80.271598392],,
5,60,CUGMS,ANGAPPAN STREET,"NO.7/3, ANGAPPA ST, CHENNAI - 600 001",13.10135405, 80.291833099],,
5,61,CMS,EGMORE,"VEERASAMY STREET, EGMORE, CHENNAI - 600 008",13.07533698, 80.254794984],,
5,61,CMS,VARADHARAJAPURAM,"COMMISIONER OF POLICE ROAD, PUDUPET  VARADARAJAPURAM CHENNAI - 600 002",13.07533698, 80.254794984],,
5,62,CMS,NARASINGAPURAM,"1,ADIKESAVALU ST, NARASINGAPURAM, CHENNAI - 600 002",13.07638576, 80.266611606],,
6,66,CMS,K.C. Garden,"NO 41,KC GARDEN PERAVALLUR, CHENNAI - 600 082",13.11829109, 80.231066658],,
6,67,CMS,Rangasayee Street,"NO 82,RANGASAYEE STREET,PERAMBUR, CHENNAI - 600 011",13.11018658, 80.227497482],,
6,68,CMS,Gopalapuram,"NO1, SRP KOIL ST NORTH, CHENNAI - 600 082",13.12124101, 80.223690907],,
6,69,CMS,Vasantha Garden,"NO 13,MADURAI STREET,AYANAVARAM, CHENNAI - 600 023",13.11237968, 80.241154913],,
6,69,CMS,Maduma Nagar,"12,KABILAR STREET MADUMA NAGAR PERAMBUR CHENNAI - 600 011",13.11237968, 80.241154913],,
6,70,CMS,Gokulam,"NO 22/26,CHEIYUR PARTHASARATHY STREET,PERAMBUR,CHENNAI - 600 011",13.11138622, 80.244636312],,
6,70,CMS,M.H. Road,"NO 2A,SCHOOL ROAD PERAMBUR,CHENNAI - 600 011",13.11138622, 80.244636312],,
6,71,CMS,Ekangipuram,"NO 15/2,EKANGIPURAM FIRST STREET AYANAVARAM,CHENNAI - 600 023",13.10396383, 80.243006988],,
6,72,CMS,H & S Factory,"NO 5,NARASIMMA NAGAR MAIN STREET,PULLIYANTHOPPU, CHENNAI -600 012",13.10482878, 80.265241339],,
