Zone,Div,Area,Location,Street,latitude,longitude
8,96, AYANAVARAM,KALAIGNAR KARUNANIDHI NAGAR,KALAIGNAR KARUNANIDHI NAGAR 11TH  STREET,13.09806714,80.23243235
8,96, AYANAVARAM,KALAIGNAR KARUNANIDHI NAGAR,KALAIGNAR KARUNANIDHI NAGAR 11TH  STREET,13.09806824,80.23240192
8,97, AYANAVARAM,AYANAVARAM,SOLAI 3RD STREET (2ND LANE),13.09015167,80.22909753
8,98, AYANAVARAM,AYANAVARAM,WATER WORKS AVENUE ROAD,13.08651517,80.23470581
8,99, ANNA NAGAR WEST,J & H BLOCK,16TH MAIN ROAD,13.08909073,80.19885326
8,99, ANNA NAGAR WEST,J & H BLOCK,16TH MAIN ROAD,13.08908961,80.19887115
8,99, ANNA NAGAR WEST,2ND AVENUE,2ND AVENUE (HIGHWAYS),13.08552929,80.19880222
8,99, ANNA NAGAR WEST,2ND AVENUE,2ND AVENUE (HIGHWAYS),13.085529,80.19881726
9,110, NUNGAMBAKKAM,NUNGAMBAKKAM,LAKE AREA 1ST MAIN ROAD,13.05316171,80.241316
9,111, THOUSAND LIGHTS,THOUSAND LIGHTS,GULAM ABBAS ALIKHAN X STREET,13.05678372,80.25182721
9,111, TEYNAMPET,TEYNAMPET,ANNA SALAI,13.05953023,80.25747198
9,111, THOUSAND LIGHTS,MAKKIS GARDEN,RAMASWAMY STREET,13.0623597,80.25486221
9,112, KODAMBAKKAM,VARADARAJANPET,RAJAPURANIKAR STREET,13.05821601,80.22773362
9,112, KODAMBAKKAM,VELLALA STREET,VARADARAJANPET MAIN ROAD,13.05647472,80.2271795
9,112, CHOOLAIMEDU,CHOOLAIMEDU,RAILWAY BOARDER ROAD,13.06527629,80.23254654
9,112, KODAMBAKKAM,PULIYUR,PULIYUR 1ST MAIN ROAD,13.05497765,80.22588351
9,112, KODAMBAKKAM,TRUSTPURAM,TRUSTPURAM 4TH CROSS STREET,13.05567367,80.22564437
9,112, KODAMBAKKAM,KODAMBAKKAM,DASSPURAM,13.05822586,80.22600576
9,112, KODAMBAKKAM,KODAMBAKKAM,DASSPURAM,13.05806882,80.22526572
9,112, KODAMBAKKAM,KODAMBAKKAM,VANNARAPATHAI,13.05551843,80.21840839
9,113, T.NAGAR,PARTHA SARATHY PURAM,THANGAVELU STREET,13.05245416,80.23937992
9,114, CHEPAUK,CHEPAUK,VALAIAH SALAI,13.06382131,80.28059316
9,114, CHEPAUK,CHEPAUK,KAMARAJER SALAI BEECH ROAD,13.06359183,80.28376116
9,114, CHEPAUK,CHEPAUK,KAMARAJER SALAI BEECH ROAD,13.06008819,80.2832646
9,115, ROYAPETTAH,ROYAPETTAH,MANICKAM (M) STREET,13.05540502,80.26907638
9,116, TRIPLICANE,TRIPLICANE,BHARATHI ROAD (PYCRAFTS ROAD),13.05791475,80.27965863
9,116, TRIPLICANE,TRIPLICANE,DR. BESANT ROAD,13.05136852,80.27742525
9,116, TRIPLICANE,TRIPLICANE,SERVICE ROAD,13.05425296,80.28177505
9,116, TRIPLICANE,TRIPLICANE,SERVICE ROAD,13.05132697,80.28129865
9,117, T.NAGAR,T.NAGAR,HABIBULLAH ROAD,13.049945,80.24076227
9,117, T.NAGAR,PARTHA SARATHY PURAM,SIVASAILAM STREET,13.05020397,80.2363622
9,117, T.NAGAR,LALA THOTTAM,MAMBALAM HIGH ROAD,13.05072222,80.23078798
9,117, T.NAGAR,LALA THOTTAM,MAMBALAM HIGH ROAD,13.05023233,80.23069312
9,118, THOUSAND LIGHTS,GOPALAPURAM,DAMODHARAN STREET,13.04922266,80.25478223
9,119, ROYAPETTAH,ROYAPETTAH,MUTHIAH MUDALI GARDEN STREET(INCLUDING HUTS),13.04757457,80.27095134
9,119, ROYAPETTAH,ROYAPETTAH,MUTHIAH MUDALI GARDEN STREET(INCLUDING HUTS),13.04999379,80.2711727
9,119, ROYAPETTAH,ROYAPETTAH,MUTHIAH MUDALI GARDEN STREET(INCLUDING HUTS),13.05047435,80.27112315
9,119, ROYAPETTAH,ROYAPETTAH,AVVAI SHANMUGAM SALAI,13.04768433,80.26672894
9,119, TRIPLICANE,TRIPLICANE,SAIVA MUTHIAH MUDALI 6TH STREET,13.04935342,80.27092329
9,119, MYLAPORE,MYLAPORE,SANTHAVELI 1ST STREET,13.04099099,80.26211597
9,119, MYLAPORE,CIT COLONY,C.I.T. COLONY 2ND LINK STREET,13.0395124,80.26189432
9,121, ROYAPETTAH,"MAIN ROAD, ROTTARY NAGAR",ROTARY NAGAR MAIN ROAD,13.04365148,80.27554107
9,121, ROYAPETTAH,MAYANDI COLONY,MAYANDI COLONY 2ND STREET,13.04514821,80.27551529
9,121, ROYAPETTAH,"MAIN ROAD, ROTTARY NAGAR",ROTARY NAGAR MAIN ROAD,13.04637501,80.2768069
