Month ,Type,City,Rate
2021-09-01,19 Kg,Mumbai,1649.5
2021-09-01,19 Kg,Mumbai ,1649.5
2021-08-17,19 Kg,Chennai,1756.00
2021-08-17,19 Kg,Delhi,1618.00
2021-08-17,19 Kg,Delhi ,1618.0
2021-08-17,19 Kg,Kolkata,1697.00
2021-08-17,19 Kg,Kolkata ,1697.0
2021-08-17,19 Kg,Mumbai,1574.5
2021-08-17,19 Kg,Mumbai ,1574.5
2021-08-01,19 Kg,Chennai,1761.00
2021-08-01,19 Kg,Delhi,1623.00
2021-08-01,19 Kg,Delhi ,1623.0
2021-08-01,19 Kg,Kolkata,1701.50
2021-08-01,19 Kg,Kolkata ,1701.5
2021-08-01,19 Kg,Mumbai,1579.5
2021-08-01,19 Kg,Mumbai ,1579.5
2021-07-01,19 Kg,Chennai,1687.50
2021-07-01,19 Kg,Delhi,1550.00
2021-07-01,19 Kg,Delhi ,1550.0
2021-07-01,19 Kg,Kolkata,1629.00
2021-07-01,19 Kg,Kolkata ,1629.0
2021-07-01,19 Kg,Mumbai,1507.0
2021-07-01,19 Kg,Mumbai ,1507.0
2021-06-01,19 Kg,Chennai,1603.00
2021-06-01,19 Kg,Delhi,1473.50
2021-06-01,19 Kg,Delhi ,1473.5
2021-06-01,19 Kg,Kolkata,1544.50
2021-06-01,19 Kg,Kolkata ,1544.5
2021-06-01,19 Kg,Mumbai,1422.5
2021-06-01,19 Kg,Mumbai ,1422.5
2021-05-01,19 Kg,Chennai,1725.5
2021-05-01,19 Kg,Delhi,1595.5
2021-05-01,19 Kg,Delhi ,1595.5
2021-05-01,19 Kg,Kolkata,1667.5
2021-05-01,19 Kg,Kolkata ,1667.5
2021-05-01,19 Kg,Mumbai,1545.0
2021-05-01,19 Kg,Mumbai ,1545.0
2021-04-01,19 Kg,Chennai,1771.5
2021-04-01,19 Kg,Delhi,1641
2021-04-01,19 Kg,Delhi ,1641.0
2021-04-01,19 Kg,Kolkata,1713
2021-04-01,19 Kg,Kolkata ,1713.0
2021-04-01,19 Kg,Mumbai,1590.5
2021-04-01,19 Kg,Mumbai ,1590.5
2021-03-01,19 Kg,Chennai,1730.5
2021-03-01,19 Kg,Delhi,1614
