,City,Month,Accidents
232,HYDERABAD,Dec.,214
233,HYDERABAD,Total,2064
234,INDORE,Jan.,312
235,INDORE,Feb.,263
236,INDORE,Mar.,218
237,INDORE,Apr.,18
238,INDORE,May,53
239,INDORE,Jun.,101
240,INDORE,Jul.,141
241,INDORE,Aug.,140
242,INDORE,Sep.,196
243,INDORE,Oct.,207
244,INDORE,Nov.,245
245,INDORE,Dec.,207
246,INDORE,Total,2101
247,JABALPUR,Jan.,238
248,JABALPUR,Feb.,202
249,JABALPUR,Mar.,148
250,JABALPUR,Apr.,28
251,JABALPUR,May,58
252,JABALPUR,Jun.,153
253,JABALPUR,Jul.,155
254,JABALPUR,Aug.,156
255,JABALPUR,Sep.,154
256,JABALPUR,Oct.,198
257,JABALPUR,Nov.,230
258,JABALPUR,Dec.,196
259,JABALPUR,Total,1916
260,JAIPUR,Jan.,263
261,JAIPUR,Feb.,234
262,JAIPUR,Mar.,161
263,JAIPUR,Apr.,27
264,JAIPUR,May,84
265,JAIPUR,Jun.,135
266,JAIPUR,Jul.,175
267,JAIPUR,Aug.,146
268,JAIPUR,Sep.,180
269,JAIPUR,Oct.,181
270,JAIPUR,Nov.,171
271,JAIPUR,Dec.,183
272,JAIPUR,Total,1940
273,JAMSHEDPUR,Jan.,15
274,JAMSHEDPUR,Feb.,10
275,JAMSHEDPUR,Mar.,14
276,JAMSHEDPUR,Apr.,2
277,JAMSHEDPUR,May,7
278,JAMSHEDPUR,Jun.,4
279,JAMSHEDPUR,Jul.,11
280,JAMSHEDPUR,Aug.,6
281,JAMSHEDPUR,Sep.,14
282,JAMSHEDPUR,Oct.,7
283,JAMSHEDPUR,Nov.,15
284,JAMSHEDPUR,Dec.,14
285,JAMSHEDPUR,Total,119
286,JODHPUR,Jan.,52
287,JODHPUR,Feb.,61
288,JODHPUR,Mar.,35
289,JODHPUR,Apr.,9
290,JODHPUR,May,13
291,JODHPUR,Jun.,33
292,JODHPUR,Jul.,39
293,JODHPUR,Aug.,42
294,JODHPUR,Sep.,41
295,JODHPUR,Oct.,49
296,JODHPUR,Nov.,58
297,JODHPUR,Dec.,49
298,JODHPUR,Total,481
299,KANNUR,Jan.,85
300,KANNUR,Feb.,89
301,KANNUR,Mar.,45
302,KANNUR,Apr.,5
303,KANNUR,May,13
304,KANNUR,Jun.,33
305,KANNUR,Jul.,35
306,KANNUR,Aug.,33
307,KANNUR,Sep.,26
308,KANNUR,Oct.,44
309,KANNUR,Nov.,49
310,KANNUR,Dec.,47
311,KANNUR,Total,504
312,KANPUR,Jan.,44
313,KANPUR,Feb.,25
314,KANPUR,Mar.,16
315,KANPUR,Apr.,42
316,KANPUR,May,45
317,KANPUR,Jun.,36
318,KANPUR,Jul.,41
319,KANPUR,Aug.,27
320,KANPUR,Sep.,31
321,KANPUR,Oct.,33
322,KANPUR,Nov.,44
323,KANPUR,Dec.,34
324,KANPUR,Total,418
325,KOCHI,Jan.,191
326,KOCHI,Feb.,172
327,KOCHI,Mar.,159
328,KOCHI,Apr.,22
329,KOCHI,May,73
330,KOCHI,Jun.,115
331,KOCHI,Jul.,60
332,KOCHI,Aug.,89
333,KOCHI,Sep.,92
334,KOCHI,Oct.,115
335,KOCHI,Nov.,140
336,KOCHI,Dec.,132
337,KOCHI,Total,1360
338,KOLKATA,Jan.,225
339,KOLKATA,Feb.,203
340,KOLKATA,Mar.,172
341,KOLKATA,Apr.,42
342,KOLKATA,May,47
343,KOLKATA,Jun.,99
344,KOLKATA,Jul.,115
345,KOLKATA,Aug.,136
346,KOLKATA,Sep.,162
347,KOLKATA,Oct.,175
348,KOLKATA,Nov.,157
349,KOLKATA,Dec.,150
350,KOLKATA,Total,1683
351,KOLLAM,Jan.,177
352,KOLLAM,Feb.,191
353,KOLLAM,Mar.,138
354,KOLLAM,Apr.,19
355,KOLLAM,May,78
356,KOLLAM,Jun.,93
357,KOLLAM,Jul.,94
358,KOLLAM,Aug.,109
359,KOLLAM,Sep.,118
360,KOLLAM,Oct.,133
361,KOLLAM,Nov.,135
362,KOLLAM,Dec.,126
363,KOLLAM,Total,1411
364,KOTA,Jan.,48
365,KOTA,Feb.,37
366,KOTA,Mar.,36
367,KOTA,Apr.,3
368,KOTA,May,10
369,KOTA,Jun.,19
370,KOTA,Jul.,37
