Zone,Div,Location,Type,Address,latitude,longitude
15,193, Thoraipakkam ,UPHC," Govt PHC, Rajiv gandhi salai,panchayat office campus, okkiyam Thoraipakkam, chennai 600 097",12.948711,80.240929
15,195, Kannagi nagar ,UPHC," near Kannagi nagar Amma unavagam Kannagi nagar,2nd main road,okkiyam thoraipakkam, Chennai 600 097",12.93099982,80.23863589
15,197, Shozhinganallur  ,UPHC,"Neduncheliyan Salai Shozhinganallur, Opp To Aavin Booth  ",12.89214326,80.22843906
15,200, Semmanchery ,UPHC," 1ST Main road,opp toTsunami nagar, bus stop, chennai 600 119",12.8752287,80.21048827
6,67, Agaram (S) ,UPHC," No.9, Somaiya St, Agaram, Chennai 600 082",13.10917629,80.23130975
6,68, TVK Nagar  ,UPHC,"No, 1,Pallavan salai, Chennai 600 011",13.11400661,80.23542209
6,68, Sembuim ,UPHC," No.238,Papermills Road,Sembium, Chennai 600 011",13.11400661,80.23542209
6,69, Siruvallur ,UPHC," No.12, Kabilar St,Perambur, Chennai 600 011",13.12054273,80.24352986
6,69, N.N.Nagar ,UPHC," No.43, Vasantha Garden Main St, Ayanavaram, Chennai 600 023",13.10100096,80.23837624
6,73, Wadia Nagar ,UPHC," No.57, Cooks Road, Otteri, Chennai 600 012",13.10480362,80.25287983
6,73, Pulianthope ,UPHC," 40,Thiruvengadasamy street,Pulianthope, Chennai 600 012",13.10085661,80.26062737
6,74, MMA Nagar ,UPHC," No.46, Subbuaraya 2nd St, Nammalvarpet,  Chennai 600 012.",13.09596481,80.24513147
6,75, Thandhai Periyar  ,UPHC,"Chellappa Street, Otteri, Chennai 600 012",13.09277648,80.25335429
6,76, C S Nagar ,UPHC," No.1, Satchithanadam St, Kosapet, Chennai 600 012",13.09436813,80.25722795
6,77, K.P.Park ,UPHC," Old slaughter house, Choolai, Chennai 600 112",13.09515476,80.26755878
6,78, Choolai ,UPHC," No.23, V.V. Koil St, Choolai, Chennai 600 112",13.091055,80.265763
7,79, Oragadam ,UPHC," No, 26, Gandhi High Road, Oragadam, Ambattur, Chennai 600 050",13.1297302,80.15366894
7,80, Meenabedu ,UPHC," No 1 KVK Samy street,Siddha oragadam, Ambattur Chennai 600 053",13.12335824,80.16014159
7,81, Venkatapuram ,UPHC," South park Street, Chennai 600 053",13.11766987,80.15362978
7,83, Korattur ,UPHC," No. 32, TNHB 32nd street, Pakthavatchalam School Back Side, Korattur Ambattur, Chennai 600 050",13.10972264,80.18258226
7,85, Varadharajapuram  ,UPHC," No.3, Station Road, Varadharajapuram,Ambattur, Chennai 600 050",13.112624,80.1535
7,86, Athipet  ,UPHC,"Anna Street, Athipet, Ambattur, Chennai 600 058",13.091369,80.159243
7,89, Anna Nagar (N) Etxn ,UPHC," TVS Avenue main Road, Near chennai public school, Round Building (Mugappair East), Chennai 600 101",13.08956222,80.18986817
7,91, Mugappair (W) ,UPHC,"Kalamegam Salai,Mugappair W, Chennai 600 037",13.08440014,80.16951823
7,93, Mugappair(E) ,UPHC,"Veeramamunivar Street, Mugappair",13.08440014,80.16951823
8,94, Raja mangalam ,UPHC,"No:36,Raja Mangalam,1st main road,  Chennai 600 049","13.113404, 80.205321",
8,95, Agathiar nagar ,UPHC," No.1, Venugopal Street, Agathiyar Nagar, Villiwakkam, Chennai 600 049",13.09996684,80.20119613
8,95, Villiwakkam III ,UPHC," No.18, mannady street, villivakkam,chennai 600 049",13.10826226,80.21151354
8,96, N.A.(S) ,UPHC,"  No.1,Officers colony (near post office) Ayanavaram,  Chennai 600 023",13.09914502,80.23027881
8,97, Ayanavaram ,UPHC," No.29, United India nagar. 1st st, Chennai 600 023",13.098274,80.230491
8,98, P.S.Nagar ,UPHC," No.100, Aspirin garden,Ist Street, Kilpauk, Chennai 600 010",13.08541267,80.23975797
8,100, Aminjikarai West  ,UPHC,"No.1, Pillaiyar koil st, Naduvankarai, Chennai 600 040",13.07823732,80.21215196
8,101, Bharathi Puram ,UPHC," 4th street, Bharathipuram, Shenoy Nagar, Chennai 600 030",13.07908171,80.22055463
8,102, Shenoy Nagar  ,UPHC,"No.16,Gajapathy st, Shenoy Nagar, Chennai 600 030",13.07656268,80.22480584
8,103, Kilpauk  ,UPHC,"No.1, Temple Street, New Avadi road, Kilpauk, Chennai 600 010",13.08059761,80.23452476
8,104, Purasawakkam ,UPHC," No.16, Rathnasabapathy St , Purasaiwakkam",13.087774,80.252406
8,105, MMDA  ,UPHC,"No.21/63,D Block,Pandian St, MMDA Colony, Chennai 600 106",13.06655602,80.21367577
8,106, Aminjikarai East  ,UPHC,"Govindan St, Aminjikarai Chennai 600 029 ",13.06840995,80.2199318
8,107, Chetpet ,UPHC," No.14, School road, Jaganathapuram, Chetpet, Chennai 600 031",13.07319158,80.24294387
8,107, Mangalapuram ,UPHC," Osan kulam ICDS (Voluntary Health Organization, Guilt of service) No.8, 8th street, Mangalapuram, Chetpet, Chennai 600 031",13.07308637,80.24526717
9,109, Periyar nagar ,UPHC," No.47/17,Sherfudeen st, Choolaimedu, Chennai 600 094",13.063667,80.229
9,110, Pushpa nagar  ,UPHC,"Pushpa nagar I main road, Nungampakkam, Chennai 600 034",13.0578174,80.2392416
9,111, Thousand light ,UPHC," No.82,Azizmulk 2 street, Thousand light, Chennai 600 006",13.05548178,80.25241889
9,112, Vadapalani East ,UPHC," No.1/3, Trustpuram xth street kodampakkam, Chennai 600 002",13.0580068,80.2235198
9,114, Community Nursing college  ,UPHC,"No.34,Arunachalam st,Chepak, Chennai",13.063605,80.2762
9,115, Zambazar ,UPHC," No.32,Corporation Middle School, Thangavelu Vaithair Street, Subramania Garden,Devarajamudali St, Triplicane, Chennai 600 005",13.05507,80.260261
9,116, Triplicane ,UPHC," No.3, Dr.Besant road, Triplicane, Chennai 600 005",13.05121796,80.27780355
9,117, S.M.Nagar ,UPHC," Ramakamathupuram kalayana mandapam, Tnagar, Chennai 600 017",13.04921273,80.23551841
1,11, Thiruvottiyur ,UCHC," New building : No.185, N.V.N. Somu Complex,T.H Road, Thiruvottiyur, Chennai 600 019",13.15650528,80.30187781
2,21, Manali ,UCHC," New building, CPCL layout, Manali, Chennai 600 068 ",13.16858417,80.25790026
3,23, Puzhal ,UCHC," New Building, Redhills road, Cycle shop bus stop opp, Puzhal, Chennai 600 066",13.17223862,80.20553349
4,47, R.K. Nagar ,UCHC," No.88, K.H Road , Korukkupet, Chennai 600 021",13.11730292,80.27537527
5,49, Sanjeevarayanpet  ,UCHC,"  No.110, Solaiappar st, Sanjeevarayanpet, Chennai 600 021",13.11929599,80.28741778
6,73, Pulianthope ,UCHC," No.42, Thiruvenkadasamy street, Puliyanthope, chennai 600 012",13.10085661,80.26062737
7,87, Padi ,UCHC," New building, No. 5, Church road, TMP Nagar, Padi, Chennai 600 050",13.09480526,80.17843362
8,96, Ayanavaram   ,UCHC,"No.29, United India nagar, Ayanavaram Chennai 600 023",13.09914502,80.23027881
9,119, Mirsahibpet  ,UCHC," No.11, Begum sahib 5th street, Royapettah, Chennai 600 014",13.05166137,80.26980023
10,134, Vadapalani ,UCHC," No : 65, NSK salai, Arcot Road, Kodambakkam, Chennai 600 024",13.051757,80.219649
11,153, Chinna Porur ,UCHC," New building: No.4, Hospital Road, Jai Garden, Sairam avenue, Chinna Porur, Valasaravakkam, Chennai 600 089",13.03684812,80.16975979
12,160, Alandur ,UCHC,"No.56, Sowri Street,<br> Alandur, Chennai 600 016",13.00321944,80.20646616
13,175, Adyar ,UCHC," No.2, Venkatarathinam nagar, Adyar, Chennai 600 020",13.0001384,80.2559021
14,184, Perungudi ,UCHC," New building, Next Division office, School road, Perungudi,<br> Chennai 600 096",12.96577916,80.24221682
15,195, Kannagi Nagar ,UCHC," New building, 2nd cross street, opp to amma unavagam, kannagi nagar, Chennai 600 097",12.92697279,80.23945888
15,200, Injambakkam ,UCHC," New Building, No:196, V.O.C Street, Cholamandal Artists Village, Injambakkam, Chennai 600 115",12.91923018,80.25212207
