City,Incidents,Type of road,Injury
KOLLAM,110,National Highways,Died
KOLLAM,0,State Highways,Cases
KOLLAM,0,State Highways,Injured
KOLLAM,0,State Highways,Died
KOLLAM,0,Expressways,Cases
KOLLAM,0,Expressways,Injured
KOLLAM,0,Expressways,Died
KOLLAM,1656,Other Roads,Cases
KOLLAM,1396,Other Roads,Injured
KOLLAM,179,Other Roads,Died
KOTA,34,National Highways,Cases
KOTA,35,National Highways,Injured
KOTA,17,National Highways,Died
KOTA,5,State Highways,Cases
KOTA,6,State Highways,Injured
KOTA,1,State Highways,Died
KOTA,0,Expressways,Cases
KOTA,0,Expressways,Injured
KOTA,0,Expressways,Died
KOTA,654,Other Roads,Cases
KOTA,618,Other Roads,Injured
KOTA,84,Other Roads,Died
KOZHIKODE,382,National Highways,Cases
KOZHIKODE,392,National Highways,Injured
KOZHIKODE,36,National Highways,Died
KOZHIKODE,149,State Highways,Cases
KOZHIKODE,148,State Highways,Injured
KOZHIKODE,16,State Highways,Died
KOZHIKODE,0,Expressways,Cases
KOZHIKODE,0,Expressways,Injured
KOZHIKODE,0,Expressways,Died
KOZHIKODE,314,Other Roads,Cases
KOZHIKODE,321,Other Roads,Injured
KOZHIKODE,42,Other Roads,Died
LUCKNOW,373,National Highways,Cases
LUCKNOW,258,National Highways,Injured
LUCKNOW,206,National Highways,Died
LUCKNOW,156,State Highways,Cases
LUCKNOW,106,State Highways,Injured
LUCKNOW,68,State Highways,Died
LUCKNOW,49,Expressways,Cases
LUCKNOW,29,Expressways,Injured
LUCKNOW,26,Expressways,Died
LUCKNOW,472,Other Roads,Cases
LUCKNOW,472,Other Roads,Injured
LUCKNOW,39,Other Roads,Died
LUDHIANA,128,National Highways,Cases
LUDHIANA,60,National Highways,Injured
LUDHIANA,95,National Highways,Died
LUDHIANA,35,State Highways,Cases
LUDHIANA,17,State Highways,Injured
LUDHIANA,33,State Highways,Died
LUDHIANA,0,Expressways,Cases
LUDHIANA,0,Expressways,Injured
LUDHIANA,0,Expressways,Died
LUDHIANA,432,Other Roads,Cases
LUDHIANA,299,Other Roads,Injured
LUDHIANA,141,Other Roads,Died
MADURAI,36,National Highways,Cases
MADURAI,35,National Highways,Injured
MADURAI,7,National Highways,Died
MADURAI,316,State Highways,Cases
MADURAI,295,State Highways,Injured
MADURAI,50,State Highways,Died
MADURAI,0,Expressways,Cases
MADURAI,0,Expressways,Injured
MADURAI,0,Expressways,Died
MADURAI,225,Other Roads,Cases
MADURAI,106,Other Roads,Injured
MADURAI,153,Other Roads,Died
MALAPPURAM,225,National Highways,Cases
MALAPPURAM,256,National Highways,Injured
MALAPPURAM,36,National Highways,Died
MALAPPURAM,137,State Highways,Cases
MALAPPURAM,155,State Highways,Injured
MALAPPURAM,22,State Highways,Died
MALAPPURAM,0,Expressways,Cases
MALAPPURAM,0,Expressways,Injured
MALAPPURAM,0,Expressways,Died
MALAPPURAM,178,Other Roads,Cases
MALAPPURAM,169,Other Roads,Injured
MALAPPURAM,24,Other Roads,Died
MEERUT,165,National Highways,Cases
MEERUT,96,National Highways,Injured
MEERUT,82,National Highways,Died
MEERUT,89,State Highways,Cases
MEERUT,65,State Highways,Injured
MEERUT,25,State Highways,Died
MEERUT,0,Expressways,Cases
MEERUT,0,Expressways,Injured
MEERUT,0,Expressways,Died
MEERUT,250,Other Roads,Cases
MEERUT,210,Other Roads,Injured
MEERUT,36,Other Roads,Died
MUMBAI,0,National Highways,Cases
MUMBAI,0,National Highways,Injured
MUMBAI,0,National Highways,Died
MUMBAI,0,State Highways,Cases
MUMBAI,0,State Highways,Injured
MUMBAI,0,State Highways,Died
MUMBAI,0,Expressways,Cases
MUMBAI,0,Expressways,Injured
MUMBAI,0,Expressways,Died
MUMBAI,123,Other Roads,Cases
MUMBAI,94,Other Roads,Injured
MUMBAI,45,Other Roads,Died
NAGPUR,100,National Highways,Cases
NAGPUR,72,National Highways,Injured
NAGPUR,45,National Highways,Died
NAGPUR,90,State Highways,Cases
NAGPUR,73,State Highways,Injured
NAGPUR,30,State Highways,Died
NAGPUR,0,Expressways,Cases
NAGPUR,0,Expressways,Injured
NAGPUR,0,Expressways,Died
NAGPUR,418,Other Roads,Cases
NAGPUR,75,Other Roads,Injured
NAGPUR,418,Other Roads,Died
NASIK,6,National Highways,Cases
NASIK,0,National Highways,Injured
NASIK,6,National Highways,Died
NASIK,4,State Highways,Cases
NASIK,0,State Highways,Injured
NASIK,4,State Highways,Died
NASIK,0,Expressways,Cases
NASIK,0,Expressways,Injured
NASIK,0,Expressways,Died
NASIK,700,Other Roads,Cases
NASIK,603,Other Roads,Injured
NASIK,149,Other Roads,Died
PATNA,239,National Highways,Cases
PATNA,127,National Highways,Injured
PATNA,126,National Highways,Died
PATNA,29,State Highways,Cases
PATNA,36,State Highways,Injured
PATNA,15,State Highways,Died
PATNA,0,Expressways,Cases
PATNA,0,Expressways,Injured
